occupation_code,occupation_name,ksa_id,ksa_type,ksa_unit_name,ksa_definition,subcategory,related_tasks,semantic_cluster_id
2-02-11-03,光源与照明工程技术人员,K003,Knowledge,Strategic Lighting Planning,"Strategic ability to align lighting solutions with long-term energy goals, user experience, and architectural vision.",Strategic,T005|T003,CL0845
2-02-11-03,光源与照明工程技术人员,S001,Skill,Simulation Software Operation,Technical proficiency in using specialized tools to model and visualize lighting environments.,Technical,T001|T004,CL0846
2-02-11-03,光源与照明工程技术人员,S002,Skill,Stakeholder Communication,Interpersonal skill to effectively negotiate requirements and explain technical limitations to non-experts.,Interpersonal,T003|T007,CL0253
2-02-11-03,光源与照明工程技术人员,S003,Skill,Spatial Problem Solving,Cognitive skill to visualize 3D spatial relationships and optimize light distribution in complex environments.,Cognitive,T005|T006,CL0467
2-02-11-03,光源与照明工程技术人员,A001,Ability,Analytical Reasoning,Cognitive capacity to deconstruct complex lighting failures and derive root causes from data.,Cognitive,T004|T001,CL0271
2-02-11-03,光源与照明工程技术人员,A002,Ability,Field Mobility,Physical ability to travel to construction sites and perform hands-on inspections under varying conditions.,Physical,T006,CL0435
2-02-11-03,光源与照明工程技术人员,A003,Ability,Ethical Judgment,Social ability to make decisions that balance technical efficiency with human safety and environmental impact.,Social,T003|T009,CL0273
2-02-12-01,发电工程技术人员,K001,Knowledge,Power System Theory,"Declarative understanding of electrical generation principles, grid topology, and load flow dynamics.",Declarative,T001|T003,CL0847
2-02-12-01,发电工程技术人员,K002,Knowledge,Equipment Maintenance Protocols,"Procedural knowledge of standard operating procedures, safety codes, and troubleshooting steps for power generation machinery.",Procedural,T006|T009,CL0848
2-02-12-01,发电工程技术人员,K003,Knowledge,Strategic Grid Planning,"Strategic understanding of long-term energy policy, sustainability goals, and infrastructure investment planning.",Strategic,T004|T005,CL0849
2-02-12-01,发电工程技术人员,S001,Skill,System Simulation,Technical ability to operate specialized software for modeling power generation scenarios and predicting system behavior.,Technical,T001|T002,CL0850
2-02-12-01,发电工程技术人员,S002,Skill,Technical Communication,Interpersonal skill to translate complex engineering data into actionable insights for non-technical stakeholders and teams.,Interpersonal,T005|T008,CL0374
2-02-12-01,发电工程技术人员,S003,Skill,Diagnostic Reasoning,Cognitive skill to synthesize disparate data points to identify root causes of equipment failures or grid instability.,Cognitive,T003|T004,CL0555
2-02-12-01,发电工程技术人员,A001,Ability,Critical Decision Making,Cognitive ability to make high-stakes judgments under time pressure during grid emergencies or system failures.,Cognitive,T004|T007,CL0540
2-02-12-01,发电工程技术人员,A002,Ability,Physical Inspection Capability,Physical ability to navigate industrial sites and perform manual checks on heavy machinery and high-voltage components.,Physical,T006|T009,CL0624
2-02-12-01,发电工程技术人员,A003,Ability,Team Leadership,"Social ability to motivate, coordinate, and ensure safety compliance among diverse technical and operational staff.",Social,T005|T008,CL0556
2-02-12-02,供用电工程技术人员,K001,Knowledge,供配电系统原理,掌握电网拓扑结构、负荷特性及电能传输与分配的基础理论与法规标准。,Declarative,T001|T003,CL0851
2-02-12-02,供用电工程技术人员,K002,Knowledge,设备研发与计量流程,熟悉电力设备从设计、测试到计量校准的全生命周期操作规范与技术标准。,Procedural,T002|T009,CL0852
2-02-12-02,供用电工程技术人员,K003,Knowledge,能源管理战略,理解国家能源政策、碳排放目标及企业用电优化策略的宏观导向与实施路径。,Strategic,T003|T004,CL0853
2-02-12-02,供用电工程技术人员,S001,Skill,系统架构设计能力,运用专业软件与工程工具，将需求转化为可落地的供配电系统技术方案的能力。,Technical,T001|T002,CL0854
2-02-12-02,供用电工程技术人员,S002,Skill,技术沟通与协调,向非技术人员解释复杂电力问题，并协调多方资源解决现场技术冲突的能力。,Interpersonal,T004|T006,CL0855
2-02-12-02,供用电工程技术人员,S003,Skill,数据诊断与决策,从海量运行数据中识别异常模式，并基于逻辑推理制定优化或修复方案的能力。,Cognitive,T005|T007,CL0856
2-02-12-02,供用电工程技术人员,A001,Ability,复杂系统分析能力,在信息不完全或动态变化的环境下，快速拆解问题并构建逻辑模型的能力。,Cognitive,T005|T007,CL0857
2-02-12-02,供用电工程技术人员,A002,Ability,现场环境适应力,在高压、高温或狭窄空间等复杂物理环境中保持操作精准与心理稳定的能力。,Physical,T009|T004,CL0858
2-02-12-02,供用电工程技术人员,A003,Ability,利益相关者信任构建,通过专业表现与有效沟通，建立客户、监管机构及团队对技术方案的信任关系。,Social,T006|T004,CL0572
2-02-12-03,变电工程技术人员,K001,Knowledge,High-Voltage Engineering Principles,"Declarative knowledge regarding electrical physics, insulation standards, and safety protocols specific to substations.",Declarative,T001|T002,CL0859
2-02-12-03,变电工程技术人员,K002,Knowledge,Substation Automation Protocols,"Procedural knowledge of SCADA systems, relay logic, and control system integration workflows.",Procedural,T004|T006,CL0860
2-02-12-03,变电工程技术人员,K003,Knowledge,Strategic Risk Management,"Strategic understanding of grid stability, regulatory compliance, and long-term infrastructure planning.",Strategic,T003|T007,CL0822
2-02-12-03,变电工程技术人员,S001,Skill,Technical System Diagnostics,Technical ability to operate testing equipment and interpret complex sensor data streams.,Technical,T002|T004,CL0861
2-02-12-03,变电工程技术人员,S002,Skill,Stakeholder Communication,Interpersonal skill to negotiate safety requirements and explain technical constraints to non-experts.,Interpersonal,T005|T009,CL0253
2-02-12-03,变电工程技术人员,S003,Skill,Spatial Layout Synthesis,Cognitive skill to visualize 3D spatial relationships and optimize equipment placement in constrained environments.,Cognitive,T001|T007,CL0862
2-02-12-03,变电工程技术人员,A001,Ability,Analytical Problem Solving,Cognitive ability to deconstruct complex system failures and derive root causes under time pressure.,Cognitive,T003|T004,CL0016
2-02-12-03,变电工程技术人员,A002,Ability,Physical Endurance,"Physical ability to navigate hazardous environments, climb structures, and handle heavy equipment safely.",Physical,T002|T006,CL0335
2-02-12-03,变电工程技术人员,A003,Ability,Ethical Decision Making,Social ability to prioritize public safety and ethical standards over cost or schedule pressures.,Social,T003|T005,CL0661
2-02-12-04,输电工程技术人员,K001,Knowledge,输电线路与杆塔结构知识,掌握输电线路的几何参数、杆塔力学特性及绝缘配合原理的陈述性知识体系。,Declarative,T001|T004,CL0863
2-02-12-04,输电工程技术人员,K002,Knowledge,设备研发与运行指导流程,熟悉从设备选型、研发测试到运行维护的全生命周期操作程序与规范。,Procedural,T002|T003,CL0864
2-02-12-04,输电工程技术人员,K003,Knowledge,电网规划与战略决策逻辑,理解区域电网发展策略、负荷预测模型及长期规划制定的宏观逻辑。,Strategic,T005|T008,CL0865
2-02-12-04,输电工程技术人员,S001,Skill,工程设计与仿真技能,熟练运用专业软件进行线路建模、应力计算及绝缘配合仿写的技术操作能力。,Technical,T001|T007,CL0866
2-02-12-04,输电工程技术人员,S002,Skill,多方协调与沟通技能,在工程实施中有效协调施工方、业主及监管部门，解决冲突并达成共识的人际互动能力。,Interpersonal,T006|T010,CL0482
2-02-12-04,输电工程技术人员,S003,Skill,故障诊断与数据分析技能,运用逻辑推理与数据工具，从复杂运行数据中识别故障根源并制定对策的认知操作能力。,Cognitive,T004|T008,CL0867
2-02-12-04,输电工程技术人员,A001,Ability,空间结构思维与决策能力,在三维空间中构建杆塔与线路模型，并基于此进行复杂工程决策的内在认知潜能。,Cognitive,T001|T005,CL0868
2-02-12-04,输电工程技术人员,A002,Ability,现场环境适应与体力耐力,适应户外复杂地形、恶劣气候及高空作业环境，维持长时间专注工作的生理机能。,Physical,T003|T008,CL0869
2-02-12-04,输电工程技术人员,A003,Ability,社会责任与伦理判断能力,在工程决策中平衡经济效益、公共安全与环境可持续性的社会价值判断潜能。,Social,T006|T010,CL0870
2-02-12-05,电力工程安装工程技术人员,K001,Knowledge,电力安装规范知识,掌握国家及行业关于电力工程安装的技术标准、施工规范及安全法规的陈述性知识。,Declarative,T001|T003|T007,CL0871
2-02-12-05,电力工程安装工程技术人员,K002,Knowledge,施工流程管理知识,理解电力工程从方案编制到验收交付的全流程操作步骤与逻辑关系的程序性知识。,Procedural,T002|T004|T006,CL0872
2-02-12-05,电力工程安装工程技术人员,K003,Knowledge,工程风险战略评估,能够预判复杂施工现场潜在风险并制定长期应对策略的战略思维知识。,Strategic,T005|T004,CL0873
2-02-12-05,电力工程安装工程技术人员,S001,Skill,技术方案编制技能,熟练运用专业软件与规范，独立编写高质量电力安装施工组织方案的技术操作技能。,Technical,T001|T007,CL0874
2-02-12-05,电力工程安装工程技术人员,S002,Skill,现场沟通协调技能,在复杂施工环境中与多方人员有效沟通、化解冲突并建立信任的人际互动技能。,Interpersonal,T002|T004|T008,CL0875
2-02-12-05,电力工程安装工程技术人员,S003,Skill,故障诊断分析技能,运用逻辑推理与经验直觉快速定位并分析现场突发技术问题的认知处理技能。,Cognitive,T005|T003,CL0876
2-02-12-05,电力工程安装工程技术人员,A001,Ability,工程决策能力,在信息不完全或时间紧迫的现场环境下，迅速做出正确技术与管理决策的内在认知能力。,Cognitive,T005|T004,CL0877
2-02-12-05,电力工程安装工程技术人员,A002,Ability,现场操作执行能力,具备在高空、高压等复杂物理环境下进行设备安装与调试的肢体协调与操作能力。,Physical,T002|T003,CL0668
2-02-12-05,电力工程安装工程技术人员,A003,Ability,团队组织管理能力,有效整合人力资源、协调各方利益以达成工程目标的社交互动与组织能力。,Social,T004|T008,CL0878
2-02-13-01,邮政工程技术人员,K001,Knowledge,Postal Network Architecture,"Declarative knowledge regarding the structural components, routing protocols, and physical layout of national and regional postal systems.",Declarative,T001|T004,CL0879
2-02-13-01,邮政工程技术人员,K002,Knowledge,Logistics Process Engineering,"Procedural knowledge of standard operating procedures, workflow optimization techniques, and inventory management systems within postal contexts.",Procedural,T002|T003,CL0880
2-02-13-01,邮政工程技术人员,K003,Knowledge,Strategic Infrastructure Planning,"Strategic knowledge involving long-term forecasting, policy interpretation, and resource allocation for sustainable network expansion.",Strategic,T005|T006,CL0881
2-02-13-01,邮政工程技术人员,S001,Skill,System Maintenance and Troubleshooting,"Technical skill to diagnose, repair, and upgrade information systems and physical infrastructure components to ensure operational continuity.",Technical,T003|T007,CL0882
2-02-13-01,邮政工程技术人员,S002,Skill,Stakeholder Coordination,"Interpersonal skill to negotiate, communicate, and align technical requirements with diverse external partners and internal departments.",Interpersonal,T006|T009,CL0440
2-02-13-01,邮政工程技术人员,S003,Skill,Spatial and Logical Analysis,"Cognitive skill to visualize spatial relationships, interpret complex data sets, and deduce logical solutions for network inefficiencies.",Cognitive,T001|T004,CL0883
2-02-13-01,邮政工程技术人员,A001,Ability,Complex Decision Making,"Cognitive ability to synthesize conflicting data, assess risks, and make high-stakes strategic choices under uncertainty.",Cognitive,T005|T002,CL0884
2-02-13-01,邮政工程技术人员,A002,Ability,Physical Site Inspection,"Physical ability to navigate construction sites, inspect equipment, and verify physical infrastructure integrity in various environments.",Physical,T007|T001,CL0506
2-02-13-01,邮政工程技术人员,A003,Ability,Social Trust Building,"Social ability to establish credibility and trust with clients, regulators, and operational staff to facilitate project implementation.",Social,T006|T009,CL0347
2-02-13-02,快递工程技术人员,K001,Knowledge,Logistics Network Theory,"Declarative understanding of node-link structures, flow dynamics, and capacity constraints within courier distribution systems.",Declarative,T001|T002,CL0885
2-02-13-02,快递工程技术人员,K002,Knowledge,Equipment Development Protocols,"Procedural knowledge of engineering standards, material science, and testing methodologies for automated sorting and delivery hardware.",Procedural,T003|T007,CL0886
2-02-13-02,快递工程技术人员,K003,Knowledge,Strategic Capacity Planning,"Strategic foresight regarding market trends, demand forecasting, and long-term infrastructure investment alignment.",Strategic,T005|T009,CL0887
2-02-13-02,快递工程技术人员,S001,Skill,System Architecture Design,"Technical proficiency in constructing scalable, reliable, and secure information and physical delivery systems.",Technical,T001|T004,CL0888
2-02-13-02,快递工程技术人员,S002,Skill,Stakeholder Coordination,"Interpersonal ability to align technical goals with operational, financial, and customer service objectives across departments.",Interpersonal,T006|T010,CL0440
2-02-13-02,快递工程技术人员,S003,Skill,Complex Problem Solving,Cognitive skill to diagnose root causes of network failures and innovate novel engineering solutions under uncertainty.,Cognitive,T002|T005,CL0513
2-02-13-02,快递工程技术人员,A001,Ability,Analytical Reasoning,"Cognitive capacity to process large datasets, identify patterns, and derive logical conclusions for decision-making.",Cognitive,T004|T007,CL0271
2-02-13-02,快递工程技术人员,A002,Ability,Physical Site Inspection,"Physical ability to navigate construction sites, operate inspection tools, and assess structural integrity in real-time.",Physical,T009|T003,CL0506
2-02-13-02,快递工程技术人员,A003,Ability,Strategic Decision Making,Social and cognitive ability to make high-stakes choices involving resource allocation and risk management in dynamic environments.,Social,T005|T010,CL0889
2-02-14-01,广播电视制播工程技术人员,K001,Knowledge,Broadcasting Standards and Regulations,"Declarative knowledge of national and international broadcasting laws, frequency allocation, and technical safety standards.",Declarative,T001|T004,CL0890
2-02-14-01,广播电视制播工程技术人员,K002,Knowledge,System Architecture and Configuration,"Procedural knowledge of how to assemble, configure, and integrate specific hardware and software components for transmission.",Procedural,T002|T003,CL0891
2-02-14-01,广播电视制播工程技术人员,K003,Knowledge,Strategic Technology Planning,Strategic knowledge to forecast industry trends and align technical infrastructure with long-term organizational goals.,Strategic,T001|T005,CL0892
2-02-14-01,广播电视制播工程技术人员,S001,Skill,Equipment Calibration and Testing,Technical skill to operate diagnostic tools and adjust audio-visual parameters to meet precise quality standards.,Technical,T002|T008,CL0893
2-02-14-01,广播电视制播工程技术人员,S002,Skill,Cross-Departmental Coordination,Interpersonal skill to communicate technical constraints and requirements effectively to non-technical production staff.,Interpersonal,T007|T010,CL0894
2-02-14-01,广播电视制播工程技术人员,S003,Skill,Diagnostic Reasoning,"Cognitive skill to analyze complex system failures, isolate root causes, and formulate logical repair strategies.",Cognitive,T003|T005,CL0555
2-02-14-01,广播电视制播工程技术人员,A001,Ability,Situational Awareness,Cognitive ability to maintain continuous monitoring of multiple data streams and detect subtle anomalies in real-time.,Cognitive,T004|T005,CL0895
2-02-14-01,广播电视制播工程技术人员,A002,Ability,Manual Dexterity and Physical Endurance,"Physical ability to handle heavy equipment, climb racks, and perform precise manual adjustments in confined spaces.",Physical,T002|T003,CL0413
2-02-14-01,广播电视制播工程技术人员,A003,Ability,Ethical Responsibility and Trust,Social ability to be trusted with critical infrastructure decisions and to manage stakeholder expectations during outages.,Social,T007|T010,CL0896
2-02-14-02,广播电视传输覆盖工程技术人员,K001,Knowledge,无线电频谱与传输原理,掌握电磁波传播特性、频率规划原则及广播电视信号传输的基础物理与工程知识。,Declarative,T001|T003|T004,CL0897
2-02-14-02,广播电视传输覆盖工程技术人员,K002,Knowledge,网络规划与设备调试流程,熟悉覆盖网络设计方法论、设备参数配置步骤及故障排查的标准作业程序。,Procedural,T002|T005,CL0898
2-02-14-02,广播电视传输覆盖工程技术人员,K003,Knowledge,频率资源战略管理,理解国家频率分配政策、频谱利用效率策略及应对突发干扰的长期规划能力。,Strategic,T004|T006,CL0899
2-02-14-02,广播电视传输覆盖工程技术人员,S001,Skill,设备参数调试技能,能够熟练操作专业测试仪器，精准调整发射机与接收机参数以优化信号质量。,Technical,T002,CL0900
2-02-14-02,广播电视传输覆盖工程技术人员,S002,Skill,多方工程协调技能,具备与运营商、监管部门及施工团队沟通协作，解决工程实施中冲突的能力。,Interpersonal,T007|T009,CL0901
2-02-14-02,广播电视传输覆盖工程技术人员,S003,Skill,复杂故障诊断技能,运用逻辑推理与数据分析工具，从海量监测数据中快速定位并解决传输异常。,Cognitive,T003|T005,CL0902
2-02-14-02,广播电视传输覆盖工程技术人员,A001,Ability,空间拓扑分析能力,在三维空间中构建网络模型，理解地形地貌对信号覆盖的影响并进行可视化推演。,Cognitive,T001|T005,CL0903
2-02-14-02,广播电视传输覆盖工程技术人员,A002,Ability,现场设备操作能力,具备在户外复杂环境下进行设备搬运、安装及物理调试的体力与精细动作控制能力。,Physical,T002|T009,CL0904
2-02-14-02,广播电视传输覆盖工程技术人员,A003,Ability,技术决策与责任承担能力,在不确定性环境下做出最终技术决策，并对决策后果承担职业与法律责任。,Social,T004|T007,CL0905
2-02-14-03,电影工程技术人员,K001,Knowledge,电影洗印化学原理,掌握胶片感光材料、显影定影化学反应机制及环境控制参数的理论知识。,Declarative,T001|T005,CL0906
2-02-14-03,电影工程技术人员,K002,Knowledge,摄录设备操作规范,熟悉各类电影摄录、洗印设备的结构、功能、操作流程及故障排除步骤。,Procedural,T002|T008,CL0907
2-02-14-03,电影工程技术人员,K003,Knowledge,电影工程技术战略,理解电影工业发展趋势，能够制定符合艺术创作需求的技术演进路线。,Strategic,T003|T006,CL0908
2-02-14-03,电影工程技术人员,S001,Skill,设备调试与配置,能够根据拍摄场景与艺术要求，精准调整摄录与洗印设备的参数设置。,Technical,T002|T005,CL0909
2-02-14-03,电影工程技术人员,S002,Skill,技术沟通与协调,能够清晰表达技术限制与需求，协调导演、摄影师与后期团队的技术分歧。,Interpersonal,T007,CL0855
2-02-14-03,电影工程技术人员,S003,Skill,工艺创新设计,运用工程思维与艺术直觉，设计并优化电影制作的新工艺流程。,Cognitive,T001|T003,CL0910
2-02-14-03,电影工程技术人员,A001,Ability,影像缺陷分析能力,能够敏锐识别洗印过程中的色彩偏差、颗粒度异常等细微质量问题。,Cognitive,T004,CL0911
2-02-14-03,电影工程技术人员,A002,Ability,精细手工操作能力,具备处理胶片、化学药剂及精密光学元件所需的稳定手部动作与专注力。,Physical,T005|T008,CL0783
2-02-14-03,电影工程技术人员,A003,Ability,团队协作与信任构建,在高压拍摄环境下建立团队信任，确保技术指令被准确执行。,Social,T007,CL0912
2-02-14-04,演艺设备工程技术人员,K001,Knowledge,Stage Mechanical Engineering Principles,"Declarative knowledge regarding the structural integrity, load limits, and kinematic principles of stage machinery.",Declarative,T001|T003,CL0913
2-02-14-04,演艺设备工程技术人员,K002,Knowledge,System Integration Procedures,"Procedural knowledge detailing the step-by-step protocols for installing, calibrating, and testing lighting and audio systems.",Procedural,T004|T007,CL0914
2-02-14-04,演艺设备工程技术人员,K003,Knowledge,Strategic Project Planning,"Strategic knowledge involving the long-term vision for event production, risk assessment, and resource allocation strategies.",Strategic,T002|T005,CL0417
2-02-14-04,演艺设备工程技术人员,S001,Skill,Technical Troubleshooting,The ability to systematically diagnose and repair complex hardware and software failures in real-time.,Technical,T003|T007,CL0826
2-02-14-04,演艺设备工程技术人员,S002,Skill,Stakeholder Coordination,"The interpersonal skill to negotiate requirements, manage expectations, and lead diverse technical teams effectively.",Interpersonal,T002|T008,CL0440
2-02-14-04,演艺设备工程技术人员,S003,Skill,Spatial Visualization,The cognitive ability to mentally manipulate 3D models of stage setups and predict mechanical interactions.,Cognitive,T001|T004,CL0334
2-02-14-04,演艺设备工程技术人员,A001,Ability,Critical Decision Making,The capacity to make high-stakes judgments under time pressure with incomplete information.,Cognitive,T005|T003,CL0540
2-02-14-04,演艺设备工程技术人员,A002,Ability,Manual Dexterity,The physical ability to perform precise manual adjustments and handle heavy equipment safely.,Physical,T004|T007,CL0247
2-02-14-04,演艺设备工程技术人员,A003,Ability,Adaptive Innovation,The social and creative ability to devise novel solutions when standard protocols fail during live events.,Social,T005|T008,CL0819
2-02-15-01,汽车运用工程技术人员,K001,Knowledge,Automotive Operation Principles,"Declarative knowledge regarding vehicle systems, operational mechanics, and lifecycle management.",Declarative,T001|T003,CL0915
2-02-15-01,汽车运用工程技术人员,K002,Knowledge,Emission Control Technologies,Procedural knowledge on how to implement and verify energy saving and emission reduction techniques.,Procedural,T002|T004,CL0916
2-02-15-01,汽车运用工程技术人员,K003,Knowledge,Strategic Industry Standards,Strategic understanding of regulatory frameworks and long-term industry trends in automotive engineering.,Strategic,T004|T008,CL0917
2-02-15-01,汽车运用工程技术人员,S001,Skill,Diagnostic Analysis,Technical ability to interpret complex vehicle data and identify root causes of failures.,Technical,T001|T003,CL0918
2-02-15-01,汽车运用工程技术人员,S002,Skill,Stakeholder Coordination,"Interpersonal skill to negotiate, communicate, and align technical solutions with diverse parties.",Interpersonal,T005|T009,CL0440
2-02-15-01,汽车运用工程技术人员,S003,Skill,Critical Reasoning,"Cognitive skill to evaluate evidence, weigh options, and formulate logical technical conclusions.",Cognitive,T004|T008,CL0254
2-02-15-01,汽车运用工程技术人员,A001,Ability,Problem Solving,Cognitive capacity to synthesize information and generate effective solutions under uncertainty.,Cognitive,T001|T004,CL0919
2-02-15-01,汽车运用工程技术人员,A002,Ability,Manual Dexterity,Physical ability to perform precise inspections and handle tools in confined vehicle spaces.,Physical,T003|T010,CL0247
2-02-15-01,汽车运用工程技术人员,A003,Ability,Ethical Judgment,Social ability to make decisions that balance technical efficiency with safety and regulatory ethics.,Social,T002|T008,CL0273
2-02-15-02,船舶运用工程技术人员,K001,Knowledge,船舶运用与轮机工程原理,掌握船舶结构、动力系统及电气系统的运作机制与基础理论，是进行技术分析与决策的基石。,Declarative,T001|T002|T004,CL0920
2-02-15-02,船舶运用工程技术人员,K002,Knowledge,船舶检测维修与故障排除流程,熟悉船舶设备维护的标准作业程序、检测工具使用方法及常见故障的修复步骤。,Procedural,T002|T009,CL0921
2-02-15-02,船舶运用工程技术人员,K003,Knowledge,航运经济与战略决策模型,理解航运市场规律、成本构成及风险评估模型，用于制定长期运营策略与技术革新方向。,Strategic,T003|T004|T005,CL0922
2-02-15-02,船舶运用工程技术人员,S001,Skill,船舶设备实操检测技能,能够熟练运用专业仪器对船舶轮机及电气系统进行物理检测、诊断与现场修复操作。,Technical,T002|T009,CL0923
2-02-15-02,船舶运用工程技术人员,S002,Skill,多方资源协调与沟通技能,在复杂海况或突发事故中，有效协调船员、供应商及管理层，建立信任并推动问题解决。,Interpersonal,T005|T007,CL0924
2-02-15-02,船舶运用工程技术人员,S003,Skill,复杂工程问题逻辑分析技能,运用逻辑推理与数据分析方法，从海量技术数据中识别关键变量，构建解决方案。,Cognitive,T001|T003|T004,CL0925
2-02-15-02,船舶运用工程技术人员,A001,Ability,动态环境下的快速决策能力,在信息不完全或时间紧迫的海况下，迅速评估风险并做出最优技术或运营决策。,Cognitive,T001|T005,CL0926
2-02-15-02,船舶运用工程技术人员,A002,Ability,高强度体力作业耐受能力,具备在船舶狭窄空间、震动环境及恶劣天气下进行长时间设备检修与操作的体能素质。,Physical,T002|T009,CL0927
2-02-15-02,船舶运用工程技术人员,A003,Ability,团队领导力与危机干预能力,在紧急情况下凝聚团队共识，通过有效沟通消除恐慌，引导团队执行应急预案。,Social,T005|T007,CL0928
2-02-15-03,水上交通工程技术人员,K001,Knowledge,水上安全法规体系,掌握国际及国内关于水上交通安全的法律、法规、公约及标准规范。,Declarative,T002|T006,CL0929
2-02-15-03,水上交通工程技术人员,K002,Knowledge,交通管理系统操作,熟悉水上交通管理系统（VTS）的硬件架构、软件逻辑及日常运行流程。,Procedural,T001|T004,CL0930
2-02-15-03,水上交通工程技术人员,K003,Knowledge,应急决策战略,在复杂多变的水上交通环境中制定最优应对策略与资源调配方案的能力。,Strategic,T002|T003,CL0931
2-02-15-03,水上交通工程技术人员,S001,Skill,系统维护技术,对水上交通监控设备进行故障诊断、修复及性能优化的实操技能。,Technical,T004|T009,CL0932
2-02-15-03,水上交通工程技术人员,S002,Skill,多方沟通协调,在紧急情况下与船员、港口、海事部门进行高效、准确的信息交互与指令下达。,Interpersonal,T003|T005,CL0933
2-02-15-03,水上交通工程技术人员,S003,Skill,事故逻辑分析,运用逻辑推理与数据分析方法还原事故经过并界定责任的技术能力。,Cognitive,T003|T008,CL0934
2-02-15-03,水上交通工程技术人员,A001,Ability,动态环境决策,在信息不完全或时间紧迫的水上交通场景中迅速做出正确判断的潜能。,Cognitive,T001|T002,CL0935
2-02-15-03,水上交通工程技术人员,A002,Ability,现场巡检体能,适应水上作业环境，具备进行实地设施检查与应急处突的体力与耐力。,Physical,T009,CL0936
2-02-15-03,水上交通工程技术人员,A003,Ability,社会信任构建,在事故处理与日常监管中建立公众、船员及相关部门信任的社会交往潜能。,Social,T003|T007,CL0054
2-02-15-04,水上救助打捞工程技术人员,K001,Knowledge,水上救助打捞法规与标准,掌握国家及国际关于水上事故处理、潜水作业安全规范及打捞工程的技术标准。,Declarative,T001|T006,CL0937
2-02-15-04,水上救助打捞工程技术人员,K002,Knowledge,潜水装备操作与维护流程,熟悉各类潜水器、打捞机械的结构原理、操作手册及故障排除的具体步骤。,Procedural,T003|T005,CL0938
2-02-15-04,水上救助打捞工程技术人员,K003,Knowledge,复杂水文环境风险评估策略,理解水流、气压、能见度等环境因素对救援方案可行性的影响及应对策略。,Strategic,T004|T001,CL0939
2-02-15-04,水上救助打捞工程技术人员,S001,Skill,潜水装备检修与调试,能够熟练运用工具对潜水装备进行物理检查、参数校准及紧急修复。,Technical,T003,CL0940
2-02-15-04,水上救助打捞工程技术人员,S002,Skill,现场应急指挥与沟通,在高压环境下清晰下达指令，协调团队成员行动并安抚受困者情绪。,Interpersonal,T002|T007,CL0941
2-02-15-04,水上救助打捞工程技术人员,S003,Skill,动态方案设计与优化,根据实时监测数据快速调整打捞策略，平衡风险与效率。,Cognitive,T001|T004,CL0942
2-02-15-04,水上救助打捞工程技术人员,A001,Ability,高压环境决策力,在信息不全、时间紧迫的高压水下环境中迅速做出正确判断的能力。,Cognitive,T002|T004,CL0943
2-02-15-04,水上救助打捞工程技术人员,A002,Ability,高强度体能与耐力,具备长时间穿戴潜水装备作业、应对水流冲击及进行重体力搬运的生理机能。,Physical,T005|T003,CL0944
2-02-15-04,水上救助打捞工程技术人员,A003,Ability,团队信任构建与领导力,在生死攸关的救援任务中建立团队互信，确保指令被无条件执行的社会心理能力。,Social,T007|T008,CL0945
2-02-15-05,船舶检验工程技术人员,K001,Knowledge,船舶规范与法规体系,掌握国际海事组织（IMO）、船级社及国家海事局发布的船舶建造、检验及运营相关法规条文。,Declarative,T005|T001,CL0946
2-02-15-05,船舶检验工程技术人员,K002,Knowledge,船舶检验技术流程,熟悉船舶各系统（船体、轮机、电气）的检验方法、工具使用及标准作业程序。,Procedural,T002|T008,CL0947
2-02-15-05,船舶检验工程技术人员,K003,Knowledge,工程风险评估策略,能够根据船舶类型、船龄及检验结果，制定差异化的检验策略与风险控制方案。,Strategic,T004|T003,CL0948
2-02-15-05,船舶检验工程技术人员,S001,Skill,图纸审查与识别,能够准确解读复杂的船舶工程图纸，识别设计缺陷与规范不符项。,Technical,T001,CL0949
2-02-15-05,船舶检验工程技术人员,S002,Skill,多方沟通与协调,在检验过程中与船东、船厂、设计方进行有效沟通，解决技术分歧与进度冲突。,Interpersonal,T006,CL0950
2-02-15-05,船舶检验工程技术人员,S003,Skill,数据逻辑分析,运用统计学与逻辑推理方法，从检验数据中推导设备状态与潜在故障模式。,Cognitive,T004,CL0951
2-02-15-05,船舶检验工程技术人员,A001,Ability,工程判断力,在信息不完全或存在冲突时，基于经验做出符合安全标准的最终决策。,Cognitive,T003|T004,CL0952
2-02-15-05,船舶检验工程技术人员,A002,Ability,现场环境适应力,具备在船舶狭窄、潮湿、高空等复杂物理环境中进行长时间作业的身体与心理耐力。,Physical,T002|T008,CL0858
2-02-15-05,船舶检验工程技术人员,A003,Ability,职业诚信与责任,在签发证书时保持高度的职业道德，确保检验结果的客观性与公正性。,Social,T003|T006,CL0953
2-02-15-06,无线电航标操作与维护工程技术人员,K001,Knowledge,无线电导航原理与航标规范,掌握无线电波传播特性、导航信号制式及国家航标管理法规的理论知识。,Declarative,T001|T003|T007,CL0954
2-02-15-06,无线电航标操作与维护工程技术人员,K002,Knowledge,设备检修流程与故障诊断逻辑,熟悉无线电航标设备的电路结构、维修步骤及基于现象的故障排查方法论。,Procedural,T002|T006,CL0955
2-02-15-06,无线电航标操作与维护工程技术人员,K003,Knowledge,应急保障策略与系统架构规划,具备在极端气象或突发故障下制定系统冗余方案与长期运行规划的战略思维。,Strategic,T005|T008,CL0956
