Occupation Code / 职业代码,Occupation Name / 职业名称,Task ID / 任务编号,Task Description (CN) / 任务描述 (中文),Weight Category / 权重类别,Weight Percentage / 权重百分比,Substitutivity (0-1) / 替代性 (0-1 分制),Augmentation (0-1) / 增强性 (0-1 分制),Complementarity (0-1) / 互补性 (0-1 分制),Substitutivity (1-5) / 替代性 (1-5 分制),Augmentation (1-5) / 增强性 (1-5 分制),Complementarity (1-5) / 互补性 (1-5 分制)
,书法家,T009,Maintain studio equipment and workspace,Ancillary,0.05,0.2,0.4,0.8,2,3,4
,书法家,T010,Curate and exhibit calligraphic works,Ancillary,0.05,0.5,0.7,0.5,3,4,3
,摄影家,T001,策划并执行拍摄方案,Primary,0.12,0.15,0.65,0.8,2,4,4
,摄影家,T002,操控相机捕捉光影瞬间,Primary,0.12,0.3,0.75,0.7,2,4,4
,摄影家,T003,进行图像后期处理与修饰,Primary,0.12,0.7,0.9,0.6,4,5,3
,摄影家,T004,构建视觉叙事与艺术风格,Primary,0.12,0.1,0.5,0.85,1,3,4
,摄影家,T005,评估并筛选最终影像作品,Primary,0.12,0.2,0.6,0.75,2,3,4
,摄影家,T006,引导被摄对象呈现自然神态,Secondary,0.1,0.05,0.4,0.9,1,3,5
,摄影家,T007,维护摄影器材与设备状态,Secondary,0.1,0.4,0.3,0.5,3,2,3
,摄影家,T008,整理与归档影像素材库,Secondary,0.1,0.85,0.8,0.4,4,4,3
,摄影家,T009,撰写作品说明与创作阐述,Ancillary,0.05,0.6,0.7,0.5,3,4,3
,摄影家,T010,维护客户关系与商业沟通,Ancillary,0.05,0.1,0.5,0.85,1,3,4
,视觉传达设计人员,T001,Construct visual layouts based on client requirements,Primary,0.12,0.35,0.85,0.75,2,4,4
,视觉传达设计人员,T002,Develop creative concepts for visual communication projects,Primary,0.12,0.2,0.6,0.8,2,3,4
,视觉传达设计人员,T003,Apply color theory and design principles to compositions,Primary,0.12,0.4,0.7,0.65,3,4,4
,视觉传达设计人员,T004,Operate professional graphic design software tools,Primary,0.12,0.6,0.9,0.5,3,5,3
,视觉传达设计人员,T005,Negotiate design revisions with clients and stakeholders,Primary,0.12,0.15,0.4,0.85,2,3,4
,视觉传达设计人员,T006,Prepare final print-ready or digital output files,Secondary,0.1,0.75,0.95,0.4,4,5,3
,视觉传达设计人员,T007,Conduct market research for visual trends,Secondary,0.1,0.5,0.7,0.6,3,4,3
,视觉传达设计人员,T008,Maintain digital asset libraries and version control,Secondary,0.1,0.8,0.85,0.35,4,4,2
,视觉传达设计人员,T009,Present design proposals to internal teams,Ancillary,0.05,0.25,0.5,0.7,2,3,4
,视觉传达设计人员,T010,Archive completed project documentation,Ancillary,0.05,0.9,0.9,0.2,5,5,2
,服装设计人员,T001,Analyze fashion trends and market data,Primary,0.12,0.85,0.9,0.6,4,5,3
,服装设计人员,T002,Generate initial garment sketches and concepts,Primary,0.12,0.75,0.95,0.7,4,5,4
,服装设计人员,T003,Construct technical patterns and specifications,Primary,0.12,0.4,0.8,0.85,3,4,4
,服装设计人员,T004,Select and evaluate fabric properties,Primary,0.12,0.3,0.7,0.8,2,4,4
,服装设计人员,T005,Oversee garment production and quality control,Primary,0.12,0.2,0.5,0.9,2,3,5
,服装设计人员,T006,Interpret client requirements and style preferences,Secondary,0.1,0.45,0.65,0.85,3,4,4
,服装设计人员,T007,Coordinate with manufacturing teams and suppliers,Secondary,0.1,0.35,0.6,0.8,2,3,4
,服装设计人员,T008,Document design rationale and technical manuals,Secondary,0.1,0.7,0.85,0.5,4,4,3
,服装设计人员,T009,Organize physical fabric samples and prototypes,Ancillary,0.05,0.1,0.3,0.4,1,2,3
,服装设计人员,T010,Archive digital design assets and version history,Ancillary,0.05,0.9,0.95,0.3,5,5,2
,动画设计人员,T001,设计角色外观与动作规范,Primary,0.12,0.3,0.75,0.7,2,4,4
,动画设计人员,T002,绘制分镜脚本与镜头调度,Primary,0.12,0.4,0.8,0.65,3,4,4
,动画设计人员,T003,执行三维模型构建与材质贴图,Primary,0.12,0.5,0.85,0.6,3,4,3
,动画设计人员,T004,编排关键帧与中间帧动画,Primary,0.12,0.45,0.7,0.65,3,4,4
,动画设计人员,T005,整合视觉元素构建动态场景,Primary,0.12,0.35,0.75,0.7,2,4,4
,动画设计人员,T006,沟通创意需求与反馈修改,Secondary,0.1,0.2,0.4,0.85,2,3,4
,动画设计人员,T007,维护软件工具与渲染管线,Secondary,0.1,0.7,0.9,0.4,4,5,3
,动画设计人员,T008,归档项目素材与版本管理,Secondary,0.1,0.85,0.95,0.3,4,5,2
,动画设计人员,T009,整理行业趋势与竞品分析报告,Ancillary,0.05,0.6,0.8,0.5,3,4,3
,动画设计人员,T010,协助团队进行技术文档编写,Ancillary,0.05,0.75,0.85,0.4,4,4,3
,环境设计人员,T001,Analyze site conditions and client requirements,Primary,0.12,0.35,0.75,0.8,2,4,4
,环境设计人员,T002,Develop conceptual design schemes,Primary,0.12,0.4,0.85,0.75,3,4,4
,环境设计人员,T003,Produce detailed construction drawings,Primary,0.12,0.6,0.9,0.65,3,5,4
,环境设计人员,T004,Select appropriate building materials and finishes,Primary,0.12,0.45,0.7,0.7,3,4,4
,环境设计人员,T005,Construct physical or digital scale models,Primary,0.12,0.2,0.5,0.85,2,3,4
,环境设计人员,T006,Coordinate with engineering and construction teams,Secondary,0.1,0.3,0.6,0.8,2,3,4
,环境设计人员,T007,Present design proposals to stakeholders,Secondary,0.1,0.5,0.7,0.75,3,4,4
,环境设计人员,T008,Conduct on-site inspections and surveys,Secondary,0.1,0.25,0.4,0.85,2,3,4
,环境设计人员,T009,Document regulatory compliance and safety standards,Ancillary,0.05,0.7,0.8,0.5,4,4,3
,环境设计人员,T010,Archive project records and update portfolios,Ancillary,0.05,0.85,0.6,0.3,4,3,2
,染织艺术设计人员,T001,Analyze textile material properties and constraints,Primary,0.12,0.3,0.65,0.7,2,4,4
,染织艺术设计人员,T002,Generate initial pattern concepts and color palettes,Primary,0.12,0.75,0.9,0.8,4,5,4
,染织艺术设计人员,T003,Execute physical dyeing and weaving processes,Primary,0.12,0.15,0.4,0.85,2,3,4
,染织艺术设计人员,T004,Refine designs based on client aesthetic feedback,Primary,0.12,0.4,0.55,0.75,3,3,4
,染织艺术设计人员,T005,Document production workflows and quality standards,Primary,0.12,0.85,0.7,0.6,4,4,3
,染织艺术设计人员,T006,Conduct market trend research for seasonal collections,Secondary,0.1,0.6,0.8,0.7,3,4,4
,染织艺术设计人员,T007,Collaborate with production teams on technical feasibility,Secondary,0.1,0.35,0.5,0.8,2,3,4
,染织艺术设计人员,T008,Perform final quality inspection of finished textiles,Secondary,0.1,0.45,0.6,0.7,3,3,4
,染织艺术设计人员,T009,Archive and organize digital design assets,Ancillary,0.05,0.95,0.85,0.5,5,4,3
,染织艺术设计人员,T010,Prepare technical specifications for manufacturing partners,Ancillary,0.05,0.8,0.7,0.6,4,4,3
,工艺美术专业人员,T001,设计工艺美术作品视觉方案,Primary,0.12,0.35,0.85,0.65,2,4,4
,工艺美术专业人员,T002,制作工艺美术实体成品,Primary,0.12,0.15,0.4,0.85,2,3,4
,工艺美术专业人员,T003,创新工艺美术传统技艺,Primary,0.12,0.2,0.7,0.8,2,4,4
,工艺美术专业人员,T004,评估工艺美术材料特性,Primary,0.12,0.3,0.6,0.7,2,3,4
,工艺美术专业人员,T005,策划工艺美术展览与推广,Primary,0.12,0.45,0.75,0.55,3,4,3
,工艺美术专业人员,T006,修复破损传统工艺品,Secondary,0.1,0.1,0.3,0.9,1,2,5
,工艺美术专业人员,T007,撰写工艺美术项目报告,Secondary,0.1,0.6,0.8,0.4,3,4,3
,工艺美术专业人员,T008,指导学徒掌握基础技法,Secondary,0.1,0.05,0.2,0.95,1,2,5
,工艺美术专业人员,T009,整理工艺美术档案资料,Ancillary,0.05,0.7,0.9,0.3,4,5,2
,工艺美术专业人员,T010,采购工艺美术原材料,Ancillary,0.05,0.5,0.6,0.5,3,3,3
,数字媒体艺术专业人员S,T001,设计数字媒体交互界面原型,Primary,0.12,0.35,0.85,0.65,2,4,4
,数字媒体艺术专业人员S,T002,创作数字动画与动态视觉素材,Primary,0.12,0.45,0.9,0.55,3,5,3
,数字媒体艺术专业人员S,T003,整合多媒体资源制作最终交付物,Primary,0.12,0.25,0.75,0.75,2,4,4
,数字媒体艺术专业人员S,T004,评估用户交互体验与反馈,Primary,0.12,0.2,0.6,0.8,2,3,4
,数字媒体艺术专业人员S,T005,制定数字媒体艺术创作策略,Primary,0.12,0.15,0.5,0.85,2,3,4
,数字媒体艺术专业人员S,T006,维护数字媒体技术工具库,Secondary,0.1,0.7,0.4,0.3,4,3,2
,数字媒体艺术专业人员S,T007,协调跨部门项目沟通,Secondary,0.1,0.3,0.5,0.7,2,3,4
,数字媒体艺术专业人员S,T008,整理行业技术趋势报告,Secondary,0.1,0.65,0.7,0.35,4,4,2
,数字媒体艺术专业人员S,T009,归档数字媒体项目资产,Ancillary,0.05,0.9,0.2,0.1,5,2,1
,数字媒体艺术专业人员S,T010,撰写技术操作文档,Ancillary,0.05,0.8,0.6,0.2,4,3,2
,公共艺术专业人员,T001,Design public art schemes,Primary,0.12,0.3,0.85,0.75,2,4,4
,公共艺术专业人员,T002,Construct physical models,Primary,0.12,0.15,0.4,0.8,2,3,4
,公共艺术专业人员,T003,Coordinate construction implementation,Primary,0.12,0.2,0.6,0.85,2,3,4
,公共艺术专业人员,T004,Analyze environmental context,Primary,0.12,0.4,0.7,0.65,3,4,4
,公共艺术专业人员,T005,Formulate strategic artistic vision,Primary,0.12,0.25,0.5,0.9,2,3,5
,公共艺术专业人员,T006,Facilitate stakeholder communication,Secondary,0.1,0.35,0.65,0.8,2,4,4
,公共艺术专业人员,T007,Evaluate material properties,Secondary,0.1,0.45,0.75,0.55,3,4,3
,公共艺术专业人员,T008,Document project workflows,Secondary,0.1,0.8,0.9,0.2,4,5,2
,公共艺术专业人员,T009,Maintain safety protocols,Ancillary,0.05,0.5,0.6,0.4,3,3,3
,公共艺术专业人员,T010,Archive project records,Ancillary,0.05,0.9,0.85,0.1,5,4,1
,陈列展览设计人员,T001,策划展览主题与叙事逻辑,Primary,0.12,0.35,0.75,0.8,2,4,4
,陈列展览设计人员,T002,设计空间布局与动线规划,Primary,0.12,0.4,0.85,0.75,3,4,4
,陈列展览设计人员,T003,配置展品与灯光效果,Primary,0.12,0.3,0.7,0.85,2,4,4
,陈列展览设计人员,T004,编制布展执行方案与预算,Primary,0.12,0.55,0.65,0.6,3,4,3
,陈列展览设计人员,T005,协调多方资源与现场施工监督,Primary,0.12,0.15,0.4,0.9,2,3,5
,陈列展览设计人员,T006,制作展览视觉素材与模型,Secondary,0.1,0.7,0.9,0.5,4,5,3
,陈列展览设计人员,T007,撰写展览说明文案与导览词,Secondary,0.1,0.65,0.8,0.55,4,4,3
,陈列展览设计人员,T008,评估观众反馈与展览效果,Secondary,0.1,0.45,0.6,0.7,3,3,4
,陈列展览设计人员,T009,整理归档展览资料与案例库,Ancillary,0.05,0.9,0.85,0.3,5,4,2
,陈列展览设计人员,T010,维护展览设备与日常巡检,Ancillary,0.05,0.2,0.3,0.8,2,2,4
,教练员,T001,设计周期性运动训练计划,Primary,0.12,0.35,0.85,0.75,2,4,4
,教练员,T002,指导运动员掌握专项技术动作,Primary,0.12,0.2,0.6,0.8,2,3,4
,教练员,T003,评估运动员竞技表现与状态,Primary,0.12,0.4,0.7,0.65,3,4,4
,教练员,T004,实施运动心理学干预策略,Primary,0.12,0.15,0.5,0.85,2,3,4
,教练员,T005,领导团队进行战术演练,Primary,0.12,0.1,0.4,0.9,1,3,5
,教练员,T006,分析比赛录像与对手数据,Secondary,0.1,0.75,0.9,0.4,4,5,3
,教练员,T007,沟通训练目标与反馈,Secondary,0.1,0.55,0.65,0.55,3,4,3
,教练员,T008,观察并记录训练负荷数据,Secondary,0.1,0.8,0.85,0.3,4,4,2
,教练员,T009,维护器材与场地安全,Ancillary,0.05,0.3,0.4,0.3,2,3,2
,教练员,T010,撰写训练日志与报告,Ancillary,0.05,0.7,0.8,0.35,4,4,2
,裁判员,T001,Interpret competition rules in real-time,Primary,0.12,0.35,0.85,0.65,2,4,4
,裁判员,T002,Execute penalty decisions on field,Primary,0.12,0.2,0.7,0.8,2,4,4
,裁判员,T003,Manage player conduct and game flow,Primary,0.12,0.15,0.4,0.85,2,3,4
,裁判员,T004,Assess match fairness and integrity,Primary,0.12,0.25,0.6,0.75,2,3,4
,裁判员,T005,Monitor specific sport techniques,Primary,0.12,0.4,0.9,0.6,3,5,3
,裁判员,T006,Communicate rulings to participants,Secondary,0.1,0.3,0.5,0.7,2,3,4
,裁判员,T007,Document match incidents and statistics,Secondary,0.1,0.8,0.95,0.2,4,5,2
,裁判员,T008,Maintain physical positioning on field,Secondary,0.1,0.1,0.3,0.9,1,2,5
,裁判员,T009,Prepare pre-match equipment and protocols,Ancillary,0.05,0.6,0.7,0.4,3,4,3
,裁判员,T010,Resolve disputes between teams,Ancillary,0.05,0.1,0.4,0.9,1,3,5
,运动员,T001,Execute specialized athletic movements during competition,Primary,0.12,0.15,0.75,0.85,2,4,4
,运动员,T002,Develop and adjust tactical strategies based on opponent analysis,Primary,0.12,0.4,0.8,0.7,3,4,4
,运动员,T003,Maintain physical conditioning through structured training regimens,Primary,0.12,0.1,0.65,0.8,1,4,4
,运动员,T004,Regulate psychological state under high-pressure competitive environments,Primary,0.12,0.2,0.5,0.8,2,3,4
,运动员,T005,Collaborate with teammates to synchronize team formation and execution,Primary,0.12,0.1,0.6,0.9,1,3,5
,运动员,T006,Analyze opponent video footage to identify tactical weaknesses,Secondary,0.1,0.7,0.9,0.4,4,5,3
,运动员,T007,Manage public relations and media engagement activities,Secondary,0.1,0.6,0.7,0.5,3,4,3
,运动员,T008,Document training progress and injury recovery status,Secondary,0.1,0.85,0.8,0.3,4,4,2
,运动员,T009,Adhere to anti-doping regulations and ethical standards,Ancillary,0.05,0.3,0.4,0.6,2,3,3
,运动员,T010,Participate in community outreach and youth mentorship programs,Ancillary,0.05,0.15,0.5,0.85,2,3,4
,运动防护师,T001,评估运动员损伤风险等级,Primary,0.12,0.35,0.8,0.65,2,4,4
,运动防护师,T002,实施现场急救与紧急处理,Primary,0.12,0.15,0.4,0.85,2,3,4
,运动防护师,T003,制定个性化康复训练计划,Primary,0.12,0.45,0.75,0.55,3,4,3
,运动防护师,T004,指导运动员执行康复动作,Primary,0.12,0.2,0.6,0.8,2,3,4
,运动防护师,T005,沟通解释损伤机制与预后,Primary,0.12,0.7,0.9,0.3,4,5,2
,运动防护师,T006,监测康复训练生理指标,Secondary,0.1,0.85,0.95,0.15,4,5,2
,运动防护师,T007,整理运动防护档案记录,Secondary,0.1,0.9,0.85,0.1,5,4,1
,运动防护师,T008,协调医疗团队转诊流程,Secondary,0.1,0.5,0.6,0.5,3,3,3
,运动防护师,T009,维护防护装备与器材,Ancillary,0.05,0.95,0.3,0.05,5,2,1
,运动防护师,T010,更新运动医学知识库,Ancillary,0.05,0.8,0.9,0.2,4,5,2
,体育经理人,T001,设计赛事整体运营方案,Primary,0.12,0.35,0.75,0.65,2,4,4
,体育经理人,T002,执行赞助商商务谈判,Primary,0.12,0.15,0.4,0.85,2,3,4
,体育经理人,T003,制定市场营销推广策略,Primary,0.12,0.45,0.8,0.55,3,4,3
,体育经理人,T004,协调多方利益相关者关系,Primary,0.12,0.1,0.3,0.9,1,2,5
,体育经理人,T005,监控赛事财务预算执行,Primary,0.12,0.6,0.85,0.4,3,4,3
,体育经理人,T006,处理现场突发危机事件,Secondary,0.1,0.2,0.5,0.8,2,3,4
,体育经理人,T007,撰写赛事宣传文案,Secondary,0.1,0.7,0.9,0.3,4,5,2
,体育经理人,T008,评估合作伙伴履约表现,Secondary,0.1,0.55,0.65,0.45,3,4,3
,体育经理人,T009,整理赛事历史档案数据,Ancillary,0.05,0.85,0.95,0.15,4,5,2
,体育经理人,T010,维护行业人脉网络,Ancillary,0.05,0.05,0.2,0.95,1,2,5
,文字记者,T001,Conduct field interviews with sources,Primary,0.12,0.15,0.4,0.85,2,3,4
,文字记者,T002,Verify factual accuracy of collected information,Primary,0.12,0.3,0.7,0.6,2,4,3
,文字记者,T003,Draft news articles based on verified facts,Primary,0.12,0.75,0.9,0.5,4,5,3
,文字记者,T004,Analyze complex social trends for story angles,Primary,0.12,0.4,0.65,0.75,3,4,4
,文字记者,T005,Edit and refine final publication content,Primary,0.12,0.5,0.8,0.6,3,4,3
,文字记者,T006,Monitor breaking news events in real-time,Secondary,0.1,0.6,0.85,0.4,3,4,3
,文字记者,T007,Maintain professional relationships with sources,Secondary,0.1,0.1,0.3,0.9,1,2,5
,文字记者,T008,Research background information for stories,Secondary,0.1,0.7,0.8,0.3,4,4,2
,文字记者,T009,Adhere to legal and ethical reporting standards,Ancillary,0.05,0.2,0.5,0.8,2,3,4
,文字记者,T010,Manage publication deadlines and workflow,Ancillary,0.05,0.4,0.7,0.5,3,4,3
,摄影记者,T001,捕捉突发事件视觉瞬间,Primary,0.12,0.15,0.4,0.85,2,3,4
,摄影记者,T002,构建新闻图片叙事构图,Primary,0.12,0.3,0.7,0.7,2,4,4
,摄影记者,T003,筛选并编辑新闻图片素材,Primary,0.12,0.45,0.8,0.55,3,4,3
,摄影记者,T004,撰写图片新闻说明文字,Primary,0.12,0.85,0.9,0.15,4,5,2
,摄影记者,T005,操作专业摄影器材设备,Primary,0.12,0.1,0.3,0.9,1,2,5
,摄影记者,T006,评估现场新闻价值敏感度,Secondary,0.1,0.2,0.5,0.8,2,3,4
,摄影记者,T007,采访当事人获取背景信息,Secondary,0.1,0.35,0.6,0.65,2,3,4
,摄影记者,T008,审核图片伦理合规性,Secondary,0.1,0.4,0.7,0.6,3,4,3
,摄影记者,T009,整理归档影像资料库,Ancillary,0.05,0.9,0.95,0.1,5,5,1
,摄影记者,T010,维护器材设备状态,Ancillary,0.05,0.8,0.2,0.2,4,2,2
,文字编辑,T001,审核稿件内容质量,Primary,0.12,0.35,0.75,0.65,2,4,4
,文字编辑,T002,策划选题与内容架构,Primary,0.12,0.2,0.6,0.8,2,3,4
,文字编辑,T003,加工润色文本语言,Primary,0.12,0.65,0.9,0.5,4,5,3
,文字编辑,T004,沟通作者修改意见,Primary,0.12,0.15,0.4,0.85,2,3,4
,文字编辑,T005,制定出版规范标准,Primary,0.12,0.25,0.55,0.75,2,3,4
,文字编辑,T006,校对排版格式错误,Secondary,0.1,0.85,0.95,0.3,4,5,2
,文字编辑,T007,归档管理出版档案,Secondary,0.1,0.9,0.8,0.2,5,4,2
,文字编辑,T008,追踪行业出版动态,Secondary,0.1,0.5,0.7,0.6,3,4,3
,文字编辑,T009,维护版权合规记录,Ancillary,0.05,0.75,0.65,0.4,4,4,3
,文字编辑,T010,整理会议记录摘要,Ancillary,0.05,0.8,0.85,0.35,4,4,2
,美术编辑,T001,Construct visual layouts,Primary,0.12,0.35,0.85,0.65,2,4,4
,美术编辑,T002,Process and retouch images,Primary,0.12,0.6,0.9,0.4,3,5,3
,美术编辑,T003,Apply color theory principles,Primary,0.12,0.4,0.75,0.6,3,4,3
,美术编辑,T004,Design typography systems,Primary,0.12,0.45,0.8,0.55,3,4,3
,美术编辑,T005,Coordinate with stakeholders,Primary,0.12,0.15,0.5,0.85,2,3,4
,美术编辑,T006,Curate visual assets,Secondary,0.1,0.55,0.7,0.45,3,4,3
,美术编辑,T007,Proofread layout text,Secondary,0.1,0.7,0.8,0.3,4,4,2
,美术编辑,T008,Manage file versions,Secondary,0.1,0.8,0.6,0.2,4,3,2
,美术编辑,T009,Archive design records,Ancillary,0.05,0.9,0.4,0.1,5,3,1
,美术编辑,T010,Prepare print specifications,Ancillary,0.05,0.75,0.5,0.25,4,3,2
,技术编辑,T001,Execute page layout design,Primary,0.12,0.35,0.85,0.75,2,4,4
,技术编辑,T002,Conduct pre-press processing,Primary,0.12,0.4,0.9,0.8,3,5,4
,技术编辑,T003,Perform quality control inspection,Primary,0.12,0.25,0.7,0.85,2,4,4
,技术编辑,T004,Apply printing process knowledge,Primary,0.12,0.3,0.65,0.7,2,4,4
,技术编辑,T005,Manage software tools,Primary,0.12,0.5,0.95,0.6,3,5,3
,技术编辑,T006,Coordinate with design team,Secondary,0.1,0.15,0.4,0.9,2,3,5
,技术编辑,T007,Resolve technical conflicts,Secondary,0.1,0.2,0.55,0.8,2,3,4
,技术编辑,T008,Document workflow procedures,Secondary,0.1,0.6,0.8,0.5,3,4,3
,技术编辑,T009,Maintain equipment status,Ancillary,0.05,0.1,0.3,0.6,1,2,3
,技术编辑,T010,Archive digital assets,Ancillary,0.05,0.8,0.9,0.4,4,5,3
,数字出版编辑S,T001,策划数字出版选题与多媒体内容架构,Primary,0.12,0.3,0.75,0.8,2,4,4
,数字出版编辑S,T002,加工与重构多媒体文本及视听素材,Primary,0.12,0.65,0.9,0.7,4,5,4
,数字出版编辑S,T003,运营数字出版平台并监控用户反馈,Primary,0.12,0.45,0.85,0.75,3,4,4
,数字出版编辑S,T004,审核内容合规性与伦理风险,Primary,0.12,0.4,0.6,0.85,3,3,4
,数字出版编辑S,T005,协调作者与技术人员进行内容生产,Primary,0.12,0.2,0.5,0.9,2,3,5
,数字出版编辑S,T006,设计交互式数字出版产品原型,Secondary,0.1,0.55,0.8,0.65,3,4,4
,数字出版编辑S,T007,分析出版数据以优化内容分发策略,Secondary,0.1,0.7,0.95,0.6,4,5,3
,数字出版编辑S,T008,维护数字版权与知识产权档案,Secondary,0.1,0.8,0.7,0.5,4,4,3
,数字出版编辑S,T009,撰写出版行业趋势分析报告,Ancillary,0.05,0.6,0.85,0.7,3,4,4
,数字出版编辑S,T010,测试数字出版产品的技术稳定性,Ancillary,0.05,0.75,0.8,0.6,4,4,3
,网络编辑S,T001,策划网络专题内容,Primary,0.12,0.35,0.85,0.75,2,4,4
,网络编辑S,T002,撰写与编辑网络稿件,Primary,0.12,0.65,0.9,0.6,4,5,3
,网络编辑S,T003,优化网页内容SEO,Primary,0.12,0.7,0.8,0.5,4,4,3
,网络编辑S,T004,审核发布内容合规性,Primary,0.12,0.4,0.75,0.8,3,4,4
,网络编辑S,T005,维护内容管理系统,Primary,0.12,0.55,0.65,0.45,3,4,3
,网络编辑S,T006,协调多方内容资源,Secondary,0.1,0.2,0.5,0.9,2,3,5
,网络编辑S,T007,分析用户阅读数据,Secondary,0.1,0.6,0.7,0.6,3,4,3
,网络编辑S,T008,处理突发舆情事件,Secondary,0.1,0.3,0.6,0.85,2,3,4
,网络编辑S,T009,归档历史数字资料,Ancillary,0.05,0.85,0.4,0.3,4,3,2
,网络编辑S,T010,配置基础网页样式,Ancillary,0.05,0.75,0.55,0.4,4,3,3
,电子音乐编辑,T001,Analyze audio tracks for frequency balance and dynamic range,Primary,0.12,0.35,0.85,0.65,2,4,4
,电子音乐编辑,T002,Execute precise audio editing and waveform manipulation,Primary,0.12,0.9,0.95,0.4,5,5,3
,电子音乐编辑,T003,Compose original musical motifs and soundscapes,Primary,0.12,0.2,0.7,0.8,2,4,4
,电子音乐编辑,T004,Apply mixing techniques to balance multiple audio elements,Primary,0.12,0.4,0.8,0.6,3,4,3
,电子音乐编辑,T005,Collaborate with directors to align audio with visual narrative,Primary,0.12,0.15,0.5,0.85,2,3,4
,电子音乐编辑,T006,Configure and maintain digital audio workstation software,Secondary,0.1,0.8,0.75,0.3,4,4,2
,电子音乐编辑,T007,Archive and organize project files and audio assets,Secondary,0.1,0.95,0.6,0.1,5,3,1
,电子音乐编辑,T008,Document technical workflows and export specifications,Secondary,0.1,0.85,0.7,0.25,4,4,2
,电子音乐编辑,T009,Perform routine equipment calibration and troubleshooting,Ancillary,0.05,0.6,0.5,0.4,3,3,3
,电子音乐编辑,T010,Research emerging audio trends and software updates,Ancillary,0.05,0.75,0.65,0.35,4,4,2
,校对员,T001,识别文本中的拼写与语法错误,Primary,0.12,0.85,0.9,0.6,4,5,3
,校对员,T002,应用标准校对符号修正文档,Primary,0.12,0.7,0.8,0.75,4,4,4
,校对员,T003,核查事实数据与专有名词准确性,Primary,0.12,0.4,0.5,0.85,3,3,4
,校对员,T004,确保文本符合出版行业规范,Primary,0.12,0.55,0.7,0.8,3,4,4
,校对员,T005,评估长文本的逻辑连贯性,Primary,0.12,0.35,0.45,0.9,2,3,5
,校对员,T006,沟通作者澄清存疑内容,Secondary,0.1,0.15,0.3,0.95,2,2,5
,校对员,T007,维护校对记录与版本档案,Secondary,0.1,0.95,0.98,0.4,5,5,3
,校对员,T008,处理特殊排版格式调整,Secondary,0.1,0.6,0.75,0.7,3,4,4
,校对员,T009,培训初级校对人员操作规范,Ancillary,0.05,0.1,0.4,0.9,1,3,5
,校对员,T010,归档历史校对案例库,Ancillary,0.05,0.98,0.95,0.3,5,5,2
,播音员,T001,Execute live broadcast delivery,Primary,0.12,0.35,0.75,0.65,2,4,4
,播音员,T002,Organize and structure news content,Primary,0.12,0.6,0.85,0.4,3,4,3
,播音员,T003,Apply vocal techniques for emotional expression,Primary,0.12,0.4,0.5,0.7,3,3,4
,播音员,T004,Manage real-time broadcast emergencies,Primary,0.12,0.2,0.6,0.8,2,3,4
,播音员,T005,Maintain vocal health and physical posture,Primary,0.12,0.1,0.3,0.9,1,2,5
,播音员,T006,Conduct pre-broadcast script analysis,Secondary,0.1,0.7,0.9,0.3,4,5,2
,播音员,T007,Interact with studio production team,Secondary,0.1,0.3,0.5,0.75,2,3,4
,播音员,T008,Archive and catalog broadcast records,Ancillary,0.05,0.95,0.9,0.1,5,5,1
,播音员,T009,Update audience engagement metrics,Ancillary,0.05,0.9,0.85,0.15,5,4,2
,节目主持人,T001,主持节目流程并串联环节,Primary,0.12,0.3,0.65,0.75,2,4,4
,节目主持人,T002,采访嘉宾并引导对话深度,Primary,0.12,0.25,0.7,0.8,2,4,4
,节目主持人,T003,现场控场并处理突发危机,Primary,0.12,0.2,0.55,0.85,2,3,4
,节目主持人,T004,撰写或审核节目串词稿件,Primary,0.12,0.85,0.9,0.4,4,5,3
,节目主持人,T005,与观众进行实时互动反馈,Primary,0.12,0.35,0.6,0.7,2,3,4
,节目主持人,T006,录制节目并调整语音语调,Secondary,0.1,0.4,0.75,0.65,3,4,4
,节目主持人,T007,分析受众数据以优化内容,Secondary,0.1,0.9,0.95,0.3,5,5,2
,节目主持人,T008,维护个人公众形象与品牌,Secondary,0.1,0.15,0.5,0.8,2,3,4
,节目主持人,T009,操作演播室基础设备,Ancillary,0.05,0.7,0.8,0.5,4,4,3
,节目主持人,T010,整理归档节目素材与资料,Ancillary,0.05,0.95,0.9,0.2,5,5,2
,翻译,T001,Execute simultaneous oral interpretation in real-time settings,Primary,0.12,0.35,0.75,0.8,2,4,4
,翻译,T002,Produce accurate written translations for technical documents,Primary,0.12,0.65,0.9,0.6,4,5,3
,翻译,T003,Manage and maintain specialized terminology databases,Primary,0.12,0.85,0.95,0.4,4,5,3
,翻译,T004,Analyze cultural context to adapt translation tone and register,Primary,0.12,0.2,0.5,0.85,2,3,4
,翻译,T005,Facilitate communication between parties with conflicting cultural norms,Primary,0.12,0.15,0.4,0.9,2,3,5
,翻译,T006,Review and edit machine-generated translation drafts,Secondary,0.1,0.7,0.8,0.5,4,4,3
,翻译,T007,Research subject-specific background information for translation accuracy,Secondary,0.1,0.6,0.7,0.55,3,4,3
,翻译,T008,Prepare glossaries and style guides for recurring projects,Secondary,0.1,0.75,0.85,0.45,4,4,3
,翻译,T009,Coordinate with clients to clarify ambiguous source text requirements,Ancillary,0.05,0.4,0.6,0.7,3,3,4
,翻译,T010,Maintain confidentiality and ethical standards during translation processes,Ancillary,0.05,0.1,0.3,0.9,1,2,5
