occupation_code,occupation_name,isco08_code,major_category,substitutivity_01,augmentation_01,complementarity_01,substitutivity_5,augmentation_5,complementarity_5,exposure_index_rho,agentic_potential,cognitive_requirement,physicality_intensity,language_intensity
2-02-36-03,生物发酵工程技术人员,2149,2,0.3585,0.733,0.7405,2,4,4,0.3585,0,75,30,60
2-02-36-04,日用化工工程技术人员,2149,2,0.4465,0.758,0.6665,3,4,4,0.4465,0,75,20,65
2-02-36-05,塑料加工工程技术人员,2142,2,0.3565,0.7,0.695,2,4,4,0.3565,0,75,25,60
2-02-37-01,土地整治与生态修复工程技术人员,2142,2,0.408,0.7515,0.592,3,4,3,0.408,0,75,40,65
2-02-37-02,城乡规划工程技术人员,2141,2,0.3655,0.646,0.6345,2,4,4,0.3655,0,75,20,70
2-02-38-01,人工智能工程技术人员,2512,2,0.358,0.723,0.642,2,4,4,0.358,0,85,10,65
2-02-38-02,物联网工程技术人员,2512,2,0.5585,0.751,0.684,3,4,4,0.5585,0,75,20,65
2-02-38-03,大数据工程技术人员,2512,2,0.4395,0.715,0.68,3,4,4,0.4395,0,85,10,75
2-02-38-04,云计算工程技术人员,2512,2,0.5075,0.7585,0.5985,3,4,3,0.5075,0,78,10,65
2-02-38-05,智能制造工程技术人员,2149,2,0.396,0.744,0.716,3,4,4,0.396,0,85,20,65
2-02-38-06,工业互联网工程技术人员,2512,2,0.4245,0.67,0.668,3,4,4,0.4245,0,75,20,65
2-02-38-07,虚拟现实工程技术人员,2512,2,0.4215,0.74,0.674,3,4,4,0.4215,0,85,20,65
2-02-38-08,区块链工程技术人员,2512,2,0.3125,0.726,0.6875,2,4,4,0.3125,0,85,10,65
2-02-38-09,集成电路工程技术人员,2149,2,0.295,0.643,0.729,2,4,4,0.295,0,85,20,65
2-02-38-10,机器人工程技术人员,2149,2,0.3,0.69,0.72,2,4,4,0.3,0,85,25,60
2-02-38-11,增材制造工程技术人员,2149,2,0.4025,0.764,0.5975,3,4,3,0.4025,0,75,20,65
2-02-38-12,数据安全工程技术人员,2529,2,0.3705,0.7855,0.7345,2,4,4,0.3705,0,85,10,75
2-02-38-13,密码工程技术人员,2512,2,0.316,0.688,0.672,2,4,4,0.316,0,85,20,65
2-03-01-00,土壤肥料技术人员,2141,2,0.4805,0.6615,0.571,3,4,3,0.4805,0,72,35,68
2-03-02-00,农业技术指导人员,2141,2,0.386,0.631,0.688,3,4,4,0.386,0,65,30,70
2-03-03-00,植物保护技术人员,2142,2,0.383,0.7265,0.617,3,4,3,0.383,0,68,45,72
2-03-04-00,园艺技术人员,2144,2,0.493,0.7475,0.627,3,4,4,0.493,0,65,35,45
2-03-05-00,作物遗传育种栽培技术人员,2131,2,0.3515,0.71,0.719,2,4,4,0.3515,0,72,45,65
2-03-06-01,兽医,2222,2,0.404,0.7295,0.6145,3,4,3,0.404,0,75,40,65
2-03-06-02,兽药技术人员,2149,2,0.437,0.7235,0.6695,3,4,4,0.437,0,72,25,65
2-03-06-03,宠物医师,2222,2,0.484,0.748,0.594,3,4,3,0.484,0,75,40,65
2-03-07-01,畜牧技术人员,2141,2,0.441,0.778,0.679,3,4,4,0.441,0,65,40,70
2-03-07-02,草业技术人员,2143,2,0.2635,0.689,0.7365,2,4,4,0.2635,0,65,40,70
2-03-08-01,水产养殖技术人员,3130,3,0.295,0.6965,0.747,2,4,4,0.295,0,68,45,55
2-03-08-02,渔业资源开发利用技术人员,2141,2,0.3325,0.685,0.6745,2,4,4,0.3325,0,72,35,68
2-03-09-00,农业工程技术人员,2149,2,0.3245,0.7175,0.753,2,4,4,0.3245,0,72,35,68
2-04-01-01,飞行驾驶员,2341,2,0.463,0.7245,0.7045,3,4,4,0.463,0,92,25,75
2-04-01-02,飞行机械员,3111,3,0.4965,0.7275,0.5415,3,4,3,0.4965,0,72,45,65
2-04-01-03,飞行领航员,2342,2,0.251,0.609,0.67,2,3,4,0.251,0,85,25,65
2-04-01-04,飞行通信员,3314,3,0.433,0.7265,0.5845,3,4,3,0.433,0,72,25,75
2-04-02-01,甲板部技术人员,3113,3,0.4045,0.715,0.711,3,4,4,0.4045,0,75,40,65
2-04-02-02,轮机部技术人员,3113,3,0.4095,0.6895,0.718,3,4,4,0.4095,0,75,45,60
2-04-02-03,船舶引航员,3314,3,0.3565,0.6615,0.6435,2,4,4,0.3565,0,85,40,75
2-05-01-01,内科医师,2221,2,0.351,0.6675,0.661,2,4,4,0.351,0,85,20,75
2-05-01-02,外科医师,2221,2,0.401,0.7405,0.639,3,4,4,0.401,0,92,75,60
2-05-01-03,儿科医师,2221,2,0.309,0.6065,0.643,2,3,4,0.309,0,85,25,75
2-05-01-04,妇产科医师,2221,2,0.3975,0.7245,0.5975,3,4,3,0.3975,0,92,45,75
2-05-01-05,眼科医师,2221,2,0.381,0.639,0.599,3,4,3,0.381,0,92,25,75
2-05-01-06,耳鼻咽喉科医师,2221,2,0.391,0.7755,0.6465,3,4,4,0.391,0,85,40,75
2-05-01-07,口腔科医师,2222,2,0.4365,0.6375,0.6055,3,4,3,0.4365,0,85,40,75
2-05-01-08,皮肤科医师,2221,2,0.451,0.72,0.695,3,4,4,0.451,0,85,25,75
2-05-01-09,精神科医师,2221,2,0.35,0.74,0.64,2,4,4,0.35,0,92,10,85
2-05-01-10,传染病科医师,2221,2,0.3605,0.712,0.7555,2,4,4,0.3605,0,85,30,75
2-05-01-11,急诊科医师,2221,2,0.303,0.63,0.71,2,4,4,0.303,0,92,45,80
2-05-01-12,康复科医师,2221,2,0.451,0.8065,0.549,3,4,3,0.451,0,75,30,65
2-05-01-13,麻醉科医师,2221,2,0.335,0.668,0.71,2,4,4,0.335,0,92,45,60
2-05-01-14,病理科医师,2221,2,0.31,0.552,0.695,2,3,4,0.31,0,92,25,65
2-05-01-15,放射科医师,2221,2,0.402,0.6345,0.586,3,4,3,0.402,0,92,25,75
2-05-01-16,核医学科医师,2221,2,0.2935,0.613,0.7065,2,3,4,0.2935,0,85,20,75
2-05-01-17,超声科医师,2221,2,0.439,0.7095,0.6915,3,4,4,0.439,0,85,30,65
2-05-01-18,肿瘤科医师,2221,2,0.306,0.691,0.676,2,4,4,0.306,0,92,25,85
2-05-01-19,全科医师,2221,2,0.414,0.6715,0.7205,3,4,4,0.414,0,75,20,80
2-05-01-20,医学遗传科医师,2221,2,0.3785,0.729,0.6095,3,4,3,0.3785,0,92,10,85
2-05-01-21,妇幼保健医师,2221,2,0.4,0.7225,0.6345,3,4,4,0.4,0,75,20,70
2-05-01-22,疼痛科医师,2221,2,0.3555,0.7465,0.6445,2,4,4,0.3555,0,85,30,75
2-05-01-23,重症医学科医师,2221,2,0.3615,0.613,0.663,2,3,4,0.3615,0,92,45,75
2-05-01-24,临床检验科医师,2212,2,0.5015,0.752,0.5775,3,4,3,0.5015,0,85,20,75
2-05-01-25,职业病科医师,2221,2,0.3665,0.6985,0.697,2,4,4,0.3665,0,85,20,75
2-05-02-01,中医内科医师,2221,2,0.388,0.666,0.665,3,4,4,0.388,0,85,30,75
2-05-02-02,中医外科医师,2221,2,0.433,0.6595,0.6425,3,4,4,0.433,0,85,40,75
2-05-02-03,中医妇科医师,2222,2,0.436,0.6565,0.695,3,4,4,0.436,0,85,30,75
2-05-02-04,中医儿科医师,2221,2,0.455,0.664,0.62,3,4,3,0.455,0,85,30,75
2-05-02-05,中医眼科医师,2221,2,0.363,0.718,0.612,2,4,3,0.363,0,85,30,75
2-05-02-06,中医皮肤科医师,2221,2,0.409,0.6545,0.615,3,4,3,0.409,0,75,25,70
2-05-02-07,中医骨伤科医师,2221,2,0.3105,0.551,0.6895,2,3,4,0.3105,0,75,40,65
2-05-02-08,中医肛肠科医师,2221,2,0.328,0.648,0.663,2,4,4,0.328,0,85,40,75
2-05-02-09,中医耳鼻咽喉科医师,2221,2,0.373,0.672,0.609,2,4,3,0.373,0,85,30,75
2-05-02-10,针灸医师,2221,2,0.4415,0.729,0.5525,3,4,3,0.4415,0,75,30,65
2-05-02-11,中医推拿医师,2222,2,0.4185,0.647,0.5765,3,4,3,0.4185,0,75,60,65
2-05-02-12,中医营养医师,2222,2,0.4755,0.671,0.5305,3,4,3,0.4755,0,75,20,70
2-05-02-13,中医整脊科医师,2221,2,0.364,0.611,0.641,2,3,4,0.364,0,75,40,65
2-05-02-14,中医康复医师,2222,2,0.407,0.65,0.587,3,4,3,0.407,0,75,40,65
2-05-02-15,中医全科医师,2221,2,0.397,0.739,0.652,3,4,4,0.397,0,85,30,75
2-05-02-16,中医亚健康医师,2222,2,0.383,0.7035,0.622,3,4,3,0.383,0,75,30,65
2-05-03-01,中西医结合内科医师,2221,2,0.387,0.6785,0.613,3,4,3,0.387,0,85,20,75
2-05-03-02,中西医结合外科医师,2222,2,0.4175,0.6985,0.5825,3,4,3,0.4175,0,85,40,75
2-05-03-03,中西医结合妇科医师,2221,2,0.323,0.7215,0.712,2,4,4,0.323,0,85,40,75
2-05-03-04,中西医结合儿科医师,2221,2,0.3015,0.6655,0.7045,2,4,4,0.3015,0,85,20,75
2-05-03-05,中西医结合骨伤科医师,2221,2,0.35,0.754,0.655,2,4,4,0.35,0,85,40,75
2-05-03-06,中西医结合肛肠科医师,2221,2,0.449,0.7095,0.5585,3,4,3,0.449,0,85,40,75
2-05-03-07,中西医结合皮肤与性病科医师,2221,2,0.365,0.6245,0.635,2,3,4,0.365,0,85,25,75
2-05-04-00,民族医医师,2222,2,0.33,0.598,0.69,2,3,4,0.33,0,75,30,70
2-05-05-01,疾病控制医师,2222,2,0.4915,0.691,0.646,3,4,4,0.4915,0,75,25,65
2-05-05-02,健康教育医师,2222,2,0.4525,0.7225,0.65,3,4,4,0.4525,0,72,25,80
2-05-05-03,公共卫生医师,2222,2,0.5135,0.6955,0.6175,3,4,3,0.5135,0,75,20,65
2-05-06-01,药师,2262,2,0.438,0.745,0.6455,3,4,4,0.438,0,75,20,65
2-05-06-02,中药师,2261,2,0.397,0.709,0.608,3,4,3,0.397,0,75,20,65
2-05-06-03,民族药师,2261,2,0.4465,0.6585,0.6195,3,4,3,0.4465,0,72,35,65
2-05-07-01,影像技师,3211,3,0.393,0.6565,0.59,3,4,3,0.393,0,65,25,70
2-05-07-02,口腔医学技师,3212,3,0.3725,0.694,0.6395,2,4,4,0.3725,0,72,45,68
2-05-07-03,病理技师,3212,2,0.453,0.708,0.646,3,4,4,0.453,0,65,35,40
2-05-07-04,临床检验技师,3212,2,0.4325,0.7245,0.6035,3,4,3,0.4325,0,72,25,65
2-05-07-05,公卫检验技师,3212,2,0.306,0.7,0.694,2,4,4,0.306,0,72,25,65
2-05-07-06,卫生工程技师,2149,2,0.39,0.6685,0.676,3,4,4,0.39,0,72,25,68
2-05-07-07,输血技师,3212,3,0.331,0.5975,0.649,2,3,4,0.331,0,65,30,60
2-05-07-08,临床营养技师,2222,2,0.4435,0.6805,0.5495,3,4,3,0.4435,0,72,20,75
2-05-07-09,消毒技师,3222,3,0.375,0.714,0.6765,2,4,4,0.375,0,65,35,70
2-05-07-10,肿瘤放射治疗技师,3212,3,0.3615,0.689,0.693,2,4,4,0.3615,0,75,30,65
2-05-07-11,心电学技师,3211,2,0.3225,0.629,0.68,2,4,4,0.3225,0,65,30,70
2-05-07-12,神经电生理脑电图技师,3251,3,0.329,0.564,0.671,2,3,4,0.329,0,72,25,65
2-05-07-13,心理治疗技师,2222,2,0.304,0.7045,0.671,2,4,4,0.304,0,75,10,80
2-05-07-14,病案信息技师,3322,3,0.4185,0.6755,0.5665,3,4,3,0.4185,0,72,18,75
2-05-07-15,中医技师,3251,3,0.502,0.6835,0.6895,3,4,4,0.502,0,65,40,70
2-05-08-01,内科护士,2221,2,0.273,0.6495,0.78,2,4,4,0.273,0,72,45,68
2-05-08-02,儿科护士,2221,2,0.285,0.714,0.7485,2,4,4,0.285,0,75,40,70
2-05-08-03,急诊护士,2221,2,0.4065,0.572,0.6785,3,3,4,0.4065,0,85,60,75
2-05-08-04,外科护士,2221,2,0.3775,0.611,0.615,3,3,3,0.3775,0,72,45,68
2-05-08-05,社区护士,2221,2,0.3515,0.6815,0.6495,2,4,4,0.3515,0,65,35,70
2-05-08-06,助产士,2222,2,0.268,0.565,0.654,2,3,4,0.268,0,75,40,65
2-05-08-07,口腔科护士,3251,2,0.3955,0.7625,0.695,3,4,4,0.3955,0,65,15,70
2-05-08-08,妇产科护士,2221,2,0.3785,0.6815,0.629,3,4,4,0.3785,0,72,45,68
2-05-08-09,中医护士,2221,2,0.3735,0.6015,0.6265,2,3,4,0.3735,0,72,35,68
2-05-09-00,乡村医生,2222,2,0.3595,0.6185,0.6185,2,3,3,0.3595,0,65,35,70
2-05-10-00,盲人医疗按摩人员,3222,3,0.3,0.6005,0.732,2,3,4,0.3,0,65,15,70
2-06-01-01,经济规划专业人员,2413,2,0.4285,0.5855,0.5915,3,3,3,0.4285,0,85,10,75
2-06-01-02,合作经济专业人员,2424,2,0.455,0.711,0.585,3,4,3,0.455,0,72,25,75
2-06-01-03,价格专业人员,2413,2,0.558,0.71,0.7315,3,4,4,0.558,0,75,10,65
2-06-01-04,易货经济专业人员,2411,2,0.4055,0.7045,0.5945,3,4,3,0.4055,0,75,10,70
2-06-02-00,统计专业人员,2120,2,0.412,0.6835,0.7355,3,4,4,0.412,0,85,10,75
2-06-03-00,会计专业人员,2411,2,0.5975,0.6535,0.474,3,4,3,0.5975,0,75,10,65
2-06-04-00,审计专业人员,2411,2,0.484,0.6635,0.627,3,4,4,0.484,0,85,20,75
2-06-05-00,税务专业人员,2411,2,0.368,0.7475,0.632,2,4,4,0.368,0,85,10,75
2-06-06-01,资产评估专业人员,2411,2,0.453,0.6275,0.497,3,4,3,0.453,0,75,20,65
2-06-06-02,房地产估价专业人员,2411,2,0.383,0.597,0.617,3,3,3,0.383,0,75,20,70
2-06-06-03,森林资源评估专业人员L,2142,2,0.548,0.7335,0.639,3,4,4,0.548,0,72,35,68
2-06-06-04,矿业权评估专业人员,2419,2,0.5675,0.6615,0.563,3,4,3,0.5675,0,75,30,65
2-06-06-05,海域海岛评估专业人员,2141,2,0.4125,0.697,0.717,3,4,4,0.4125,0,75,40,65
2-06-07-01,国际商务专业人员,2411,2,0.425,0.718,0.586,3,4,3,0.425,0,75,10,80
2-06-07-02,市场营销专业人员,2431,2,0.559,0.744,0.639,3,4,4,0.559,0,75,10,80
2-06-07-03,商务策划专业人员,2424,2,0.5145,0.701,0.528,3,4,3,0.5145,0,75,10,80
2-06-07-04,品牌专业人员,2431,2,0.512,0.79,0.65,3,4,4,0.512,0,75,10,70
2-06-07-05,会展策划专业人员,2424,2,0.4865,0.7355,0.5935,3,4,3,0.4865,0,72,25,75
2-06-07-06,房地产开发专业人员,1349,1,0.435,0.673,0.704,3,4,4,0.435,0,78,25,72
2-06-07-07,医药代表,2424,2,0.47,0.7305,0.53,3,4,3,0.47,0,72,25,85
2-06-07-08,管理咨询专业人员,2424,2,0.3555,0.6785,0.6445,2,4,4,0.3555,0,85,10,80
2-06-07-09,拍卖师,2421,2,0.4255,0.631,0.5525,3,4,3,0.4255,0,75,20,85
2-06-07-10,物业经营管理专业人员,2411,2,0.424,0.713,0.712,3,4,4,0.424,0,68,25,72
2-06-07-11,经纪与代理专业人员,2411,2,0.4325,0.6955,0.5675,3,4,3,0.4325,0,75,10,80
2-06-07-12,报关人员,3331,3,0.513,0.7105,0.6075,3,4,3,0.513,0,72,15,68
2-06-07-13,数字化管理师S,2424,2,0.402,0.73,0.598,3,4,3,0.402,0,75,10,65
2-06-07-14,企业合规师,2422,2,0.3365,0.6775,0.6635,2,4,4,0.3365,0,75,10,80
2-06-07-15,招标采购专业人员,2411,2,0.5495,0.669,0.615,3,4,3,0.5495,0,75,20,80
2-06-07-16,技术经理人,2424,2,0.4205,0.736,0.6775,3,4,4,0.4205,0,75,20,80
2-06-07-17,不动产确权登记专业人员,2411,2,0.4115,0.6795,0.5885,3,4,3,0.4115,0,75,25,70
2-06-08-01,人力资源管理专业人员,2424,2,0.398,0.763,0.602,3,4,3,0.398,0,75,10,80
2-06-08-02,人力资源服务专业人员,2424,2,0.461,0.7485,0.539,3,4,3,0.461,0,65,15,70
2-06-08-03,职业信息分析专业人员,2422,2,0.611,0.763,0.6035,3,4,3,0.611,0,75,20,75
2-06-08-04,职业技术实训指导专业人员,2342,2,0.385,0.6865,0.664,3,4,4,0.385,0,72,35,68
2-06-09-01,银行国库业务专业人员,2411,2,0.563,0.6845,0.437,3,4,3,0.563,0,75,10,65
2-06-09-02,银行金融市场业务专业人员,2411,2,0.5865,0.7155,0.4135,3,4,3,0.5865,0,85,10,75
2-06-09-03,银行清算专业人员,3322,3,0.6505,0.75,0.409,4,4,3,0.6505,0,72,20,65
2-06-09-04,信贷审核专业人员,2411,2,0.6165,0.731,0.549,3,4,3,0.6165,0,75,10,65
2-06-09-05,银行国际业务专业人员,2411,2,0.5125,0.696,0.4875,3,4,3,0.5125,0,75,10,80
2-06-09-06,公司金融顾问,2411,2,0.6375,0.761,0.563,4,4,3,0.6375,0,85,10,75
2-06-10-01,精算专业人员,2411,2,0.4525,0.7435,0.6045,3,4,3,0.4525,0,85,10,75
2-06-10-02,保险核保专业人员,2411,2,0.469,0.7175,0.531,3,4,3,0.469,0,75,10,65
2-06-10-03,保险理赔专业人员,2411,2,0.514,0.657,0.486,3,4,3,0.514,0,72,25,68
2-06-10-04,保险资金运用专业人员,2411,2,0.4215,0.7145,0.6535,3,4,4,0.4215,0,85,10,75
2-06-11-01,证券保荐承销专业人员,2411,2,0.3515,0.6915,0.6535,2,4,4,0.3515,0,85,20,75
2-06-11-02,证券交易专业人员,2411,2,0.261,0.693,0.727,2,4,4,0.261,0,85,10,75
2-06-11-03,证券投资专业人员,2411,2,0.639,0.749,0.5235,4,4,3,0.639,0,85,10,75
2-06-11-04,金融产品销售专业人员,2411,2,0.467,0.751,0.591,3,4,3,0.467,0,72,20,75
2-06-11-05,黄金投资专业人员,2411,2,0.54,0.7315,0.674,3,4,4,0.54,0,85,10,75
2-06-11-06,期货专业人员,2411,2,0.6305,0.7435,0.649,4,4,4,0.6305,0,85,10,75
2-06-11-07,基金专业人员,2411,2,0.4425,0.675,0.5575,3,4,3,0.4425,0,85,10,75
2-06-12-01,专利代理专业人员,2411,2,0.497,0.738,0.611,3,4,3,0.497,0,85,10,90
2-06-12-02,专利审查专业人员,2411,2,0.468,0.771,0.618,3,4,3,0.468,0,85,20,75
2-06-12-03,专利管理专业人员,2411,2,0.4545,0.758,0.658,3,4,4,0.4545,0,75,10,80
2-06-12-04,知识产权信息分析专业人员,2421,2,0.5095,0.692,0.712,3,4,4,0.5095,0,85,10,75
2-06-12-05,版权专业人员,2411,2,0.46,0.7255,0.6455,3,4,4,0.46,0,75,10,85
2-06-12-06,商标代理专业人员,2419,2,0.56,0.703,0.484,3,4,3,0.56,0,75,10,80
2-06-12-07,商标审查审理专业人员,2411,2,0.4425,0.692,0.609,3,4,3,0.4425,0,85,10,80
2-06-12-08,商标管理专业人员,2411,2,0.4915,0.722,0.5145,3,4,3,0.4915,0,75,10,80
2-06-13-00,医保经办专业人员,2411,2,0.5155,0.732,0.609,3,4,3,0.5155,0,72,20,75
2-06-14-00,金融科技师S,2511,2,0.5195,0.7775,0.659,3,4,4,0.5195,0,75,10,70
2-07-01-00,监察人员,2422,2,0.3845,0.6405,0.6615,3,4,4,0.3845,0,75,25,70
2-07-02-00,法官,2611,2,0.336,0.592,0.664,2,3,4,0.336,0,92,25,85
2-07-03-00,检察官,2611,2,0.44,0.6405,0.6765,3,4,4,0.44,0,85,20,80
2-07-04-00,律师,2619,2,0.4035,0.6165,0.748,3,3,4,0.4035,0,92,10,95
2-07-05-00,公证员,2422,2,0.393,0.6955,0.657,3,4,4,0.393,0,85,10,80
2-07-06-01,法医,2222,2,0.326,0.6655,0.674,2,4,4,0.326,0,85,40,75
2-07-06-02,物证鉴定人员,2149,2,0.255,0.667,0.777,2,4,4,0.255,0,85,30,75
2-07-07-00,审判辅助人员,3422,3,0.375,0.697,0.652,2,4,4,0.375,0,65,15,70
2-07-08-00,法律顾问,2411,2,0.535,0.6495,0.656,3,4,4,0.535,0,85,20,90
2-07-09-00,宗教教职人员,2635,2,0.4425,0.6475,0.565,3,4,3,0.4425,0,75,20,85
2-07-10-01,社会工作者,4242,2,0.4095,0.672,0.5805,3,4,3,0.4095,0,72,25,85
2-07-10-02,社会组织专业人员,2422,2,0.36,0.6975,0.64,2,4,4,0.36,0,72,10,75
2-07-10-03,心理咨询师,2634,2,0.432,0.678,0.65,3,4,4,0.432,0,85,10,90
2-08-01-01,普通高等学校教师,2310,2,0.388,0.676,0.612,3,4,3,0.388,0,85,10,80
2-08-01-02,高等职业学校教师,2342,2,0.365,0.6145,0.6635,2,3,4,0.365,0,75,30,70
2-08-02-01,高级中学教师,2320,2,0.3825,0.6055,0.6795,3,3,4,0.3825,0,75,20,85
2-08-02-02,中等职业学校教师,2340,2,0.4135,0.6145,0.6225,3,3,3,0.4135,0,72,35,75
2-08-02-03,初级中学教师,2340,2,0.449,0.645,0.566,3,4,3,0.449,0,72,25,85
2-08-02-04,小学教师,2340,2,0.3515,0.631,0.691,2,4,4,0.3515,0,72,25,85
2-08-03-00,幼儿园教师,2340,2,0.257,0.7325,0.713,2,4,4,0.257,0,65,35,70
2-08-04-00,特殊教育教师,2340,2,0.3225,0.6625,0.7335,2,4,4,0.3225,0,75,30,65
2-09-01-01,文学作家,2631,2,0.434,0.606,0.566,3,3,3,0.434,0,85,10,95
2-09-01-02,曲艺作家,2641,2,0.377,0.665,0.6715,3,4,4,0.377,0,75,20,85
2-09-01-03,剧作家,2634,2,0.4455,0.64,0.6915,3,4,4,0.4455,0,85,20,95
2-09-01-04,作曲家,2144,2,0.3835,0.6065,0.6165,3,3,3,0.3835,0,85,10,60
2-09-01-05,词作家,2641,2,0.5685,0.7545,0.595,3,4,3,0.5685,0,75,20,95
2-09-01-06,导演,2634,2,0.3385,0.5915,0.6715,2,3,4,0.3385,0,85,40,75
2-09-01-07,舞蹈编导,2634,2,0.4255,0.6865,0.6765,3,4,4,0.4255,0,75,30,65
2-09-01-08,舞美设计,2166,2,0.395,0.664,0.6005,3,4,3,0.395,0,75,30,65
2-09-02-01,音乐指挥,2614,2,0.319,0.5985,0.684,2,3,4,0.319,0,85,40,75
2-09-02-02,电影电视演员,2641,2,0.283,0.642,0.735,2,4,4,0.283,0,75,40,80
2-09-02-03,戏剧戏曲演员,2634,2,0.325,0.566,0.619,2,3,3,0.325,0,75,60,80
2-09-02-04,舞蹈演员,2634,2,0.262,0.525,0.7455,2,3,4,0.262,0,65,90,40
2-09-02-05,曲艺演员,2634,2,0.315,0.592,0.587,2,3,3,0.315,0,75,30,90
2-09-02-06,杂技魔术演员,2634,2,0.389,0.6945,0.637,3,4,4,0.389,0,65,85,40
2-09-02-07,歌唱演员,2634,2,0.3126,0.4615,0.6615,2,3,4,0.3126,0,75,40,60
2-09-02-08,皮影戏木偶戏演员,2634,2,0.3195,0.505,0.5805,2,3,3,0.3195,0,65,45,70
2-09-02-09,民族乐器演奏员,2340,2,0.323,0.592,0.621,2,3,3,0.323,0,75,40,60
2-09-02-10,外国乐器演奏员,2324,2,0.3535,0.6155,0.5395,2,3,3,0.3535,0,75,40,60
2-09-03-01,电影电视制片人,1221,1,0.4245,0.6695,0.5755,3,4,3,0.4245,0,85,20,75
2-09-03-02,电影电视场记,2634,2,0.4425,0.666,0.6575,3,4,4,0.4425,0,65,35,70
2-09-03-03,电影电视摄影师,2113,2,0.4105,0.6595,0.646,3,4,4,0.4105,0,75,40,65
2-09-03-04,电影电视片发行人,2421,2,0.454,0.7095,0.6935,3,4,4,0.454,0,75,10,70
2-09-03-05,电视导播,2634,2,0.4325,0.717,0.5675,3,4,3,0.4325,0,75,20,65
2-09-03-06,剪辑师,2641,2,0.453,0.7445,0.547,3,4,3,0.453,0,75,20,65
2-09-04-01,灯光师,2149,2,0.3575,0.5335,0.6005,2,3,3,0.3575,0,72,45,68
2-09-04-02,音像师,2634,2,0.371,0.652,0.634,2,4,4,0.371,0,75,30,65
2-09-04-03,美工师,2166,2,0.41,0.6105,0.59,3,3,3,0.41,0,75,20,60
2-09-04-04,化妆师,2431,2,0.402,0.6295,0.62,3,4,3,0.402,0,65,40,70
2-09-04-05,装置师,3322,3,0.38,0.675,0.62,3,4,3,0.38,0,65,45,60
2-09-04-06,服装道具师,2166,2,0.3925,0.671,0.6615,3,4,4,0.3925,0,72,45,65
2-09-04-07,演出监督,2422,2,0.3995,0.7535,0.6375,3,4,4,0.3995,0,75,20,70
2-09-04-08,演出制作人,1349,1,0.3915,0.6995,0.577,3,4,3,0.3915,0,75,20,65
2-09-05-01,画家,2166,2,0.4375,0.616,0.646,3,3,4,0.4375,0,75,40,60
2-09-05-02,篆刻家,2141,2,0.4475,0.6465,0.666,3,4,4,0.4475,0,75,40,65
2-09-05-03,雕塑家,2163,2,0.4195,0.6495,0.72,3,4,4,0.4195,0,75,60,40
2-09-05-04,书法家,2634,2,0.392,0.625,0.658,3,4,4,0.392,0,75,40,60
2-09-05-05,摄影家,2166,2,0.339,0.618,0.6915,2,3,4,0.339,0,75,25,60
2-09-06-01,视觉传达设计人员,2166,2,0.4665,0.734,0.606,3,4,3,0.4665,0,75,20,65
2-09-06-02,服装设计人员,2166,2,0.5,0.7345,0.712,3,4,4,0.5,0,75,20,65
2-09-06-03,动画设计人员,2166,2,0.4825,0.7695,0.596,3,4,3,0.4825,0,75,20,65
2-09-06-04,环境设计人员,2166,2,0.4225,0.684,0.73,3,4,4,0.4225,0,75,20,65
2-09-06-05,染织艺术设计人员,2166,2,0.5215,0.6515,0.719,3,4,4,0.5215,0,72,35,65
2-09-06-06,工艺美术专业人员,2144,2,0.309,0.601,0.691,2,3,4,0.309,0,75,40,65
2-09-06-07,数字媒体艺术专业人员S,2166,2,0.418,0.632,0.582,3,4,3,0.418,0,75,20,65
2-09-06-08,公共艺术专业人员,2166,2,0.386,0.6685,0.654,3,4,4,0.386,0,75,30,65
2-09-06-09,陈列展览设计人员,2166,2,0.445,0.6895,0.698,3,4,4,0.445,0,72,35,68
2-09-07-01,教练员,2422,2,0.404,0.666,0.6315,3,4,4,0.404,0,72,45,68
2-09-07-02,裁判员,3339,3,0.317,0.644,0.683,2,4,4,0.317,0,75,40,60
2-09-07-03,运动员,4111,2,0.3515,0.681,0.6785,2,4,4,0.3515,0,75,90,45
2-09-07-04,运动防护师,2222,2,0.5345,0.714,0.4655,3,4,3,0.5345,0,72,45,68
2-09-07-05,体育经理人,1219,1,0.388,0.6345,0.612,3,4,3,0.388,0,75,25,80
2-10-01-01,文字记者,2413,2,0.422,0.669,0.621,3,4,3,0.422,0,75,20,85
2-10-01-02,摄影记者,2141,2,0.402,0.6095,0.598,3,3,3,0.402,0,72,45,65
2-10-02-01,文字编辑,2631,2,0.4945,0.704,0.5735,3,4,3,0.4945,0,72,20,85
2-10-02-02,美术编辑,2166,2,0.5215,0.711,0.4785,3,4,3,0.5215,0,72,20,65
2-10-02-03,技术编辑,2141,2,0.356,0.721,0.714,2,4,4,0.356,0,72,20,65
2-10-02-04,数字出版编辑S,2635,2,0.5125,0.7595,0.72,3,4,4,0.5125,0,75,20,80
2-10-02-05,网络编辑S,2635,2,0.508,0.7015,0.642,3,4,4,0.508,0,72,10,85
2-10-02-06,电子音乐编辑,2634,2,0.5675,0.7185,0.4985,3,4,3,0.5675,0,75,20,65
2-10-03-00,校对员,3322,3,0.566,0.6725,0.733,3,4,4,0.566,0,65,15,85
2-10-04-01,播音员,2641,2,0.3905,0.5875,0.5315,3,3,3,0.3905,0,72,25,95
2-10-04-02,节目主持人,2634,2,0.4615,0.713,0.63,3,4,4,0.4615,0,75,20,90
