occupation_code,occupation_name,isco08_code,isco08_title,major_category,task_count,ksa_count,substitutivity_01,augmentation_01,complementarity_01,substitutivity_5,augmentation_5,complementarity_5,exposure_index_rho,agentic_potential,cognitive_requirement,physicality_intensity,language_intensity,connecting_labor_flag,connecting_labor_depth,vibe_coding_flag,vibe_coding_depth,isco08_status
2-06-11-04,金融产品销售专业人员,2411,Advertising and Marketing Professionals,2,10,9,0.467,0.751,0.591,3,4,3,0.467,0,72,20,75,1,4,0,0,verified
2-06-11-05,黄金投资专业人员,2411,Financial Analysts,2,10,9,0.54,0.7315,0.674,3,4,4,0.54,0,85,10,75,1,4,0,0,verified
2-06-11-06,期货专业人员,2411,Financial Analysts,2,10,9,0.6305,0.7435,0.649,4,4,4,0.6305,0,85,10,75,1,3,0,0,verified
2-06-11-07,基金专业人员,2411,Financial Analysts,2,10,9,0.4425,0.675,0.5575,3,4,3,0.4425,0,85,10,75,1,3,0,0,verified
2-06-12-01,专利代理专业人员,2411,Lawyers,2,10,9,0.497,0.738,0.611,3,4,3,0.497,0,85,10,90,1,4,0,0,verified
2-06-12-02,专利审查专业人员,2411,Lawyers,2,10,9,0.468,0.771,0.618,3,4,3,0.468,0,85,20,75,1,3,0,0,verified
2-06-12-03,专利管理专业人员,2411,Lawyers,2,10,9,0.4545,0.758,0.658,3,4,4,0.4545,0,75,10,80,1,3,0,0,verified
2-06-12-04,知识产权信息分析专业人员,2421,Management and Organization Analysts,2,10,9,0.5095,0.692,0.712,3,4,4,0.5095,0,85,10,75,1,3,0,0,verified
2-06-12-05,版权专业人员,2411,Lawyers,2,10,9,0.46,0.7255,0.6455,3,4,4,0.46,0,75,10,85,1,4,0,0,verified
2-06-12-06,商标代理专业人员,2419,Legal and Related Professionals Not Elsewhere Classified,2,10,9,0.56,0.703,0.484,3,4,3,0.56,0,75,10,80,1,3,0,0,unmatched
2-06-12-07,商标审查审理专业人员,2411,Lawyers,2,10,9,0.4425,0.692,0.609,3,4,3,0.4425,0,85,10,80,1,3,0,0,verified
2-06-12-08,商标管理专业人员,2411,Management and Organization Analysts,2,10,9,0.4915,0.722,0.5145,3,4,3,0.4915,0,75,10,80,1,3,0,0,verified
2-06-13-00,医保经办专业人员,2411,Accountants,2,10,9,0.5155,0.732,0.609,3,4,3,0.5155,0,72,20,75,1,3,0,0,verified
2-06-14-00,金融科技师S,2511,Systems Analysts,2,10,9,0.5195,0.7775,0.659,3,4,4,0.5195,0,75,10,70,1,3,0,0,verified
2-07-01-00,监察人员,2422,Policy Administration Professionals,2,10,9,0.3845,0.6405,0.6615,3,4,4,0.3845,0,75,25,70,1,3,0,0,verified
2-07-02-00,法官,2611,Lawyers,2,10,9,0.336,0.592,0.664,2,3,4,0.336,0,92,25,85,1,4,0,0,verified
2-07-03-00,检察官,2611,Lawyers,2,10,9,0.44,0.6405,0.6765,3,4,4,0.44,0,85,20,80,1,4,0,0,verified
2-07-04-00,律师,2619,Legal Professionals,2,10,9,0.4035,0.6165,0.748,3,3,4,0.4035,0,92,10,95,1,4,0,0,unmatched
2-07-05-00,公证员,2422,Lawyers,2,10,9,0.393,0.6955,0.657,3,4,4,0.393,0,85,10,80,1,4,0,0,verified
2-07-06-01,法医,2222,Nursing Professionals,2,10,9,0.326,0.6655,0.674,2,4,4,0.326,0,85,40,75,1,4,0,0,verified
2-07-06-02,物证鉴定人员,2149,Science and Engineering Professionals Not Elsewhere Classified,2,10,9,0.255,0.667,0.777,2,4,4,0.255,0,85,30,75,1,4,0,0,unmatched
2-07-07-00,审判辅助人员,3422,Legal Associate Professionals,3,10,9,0.375,0.697,0.652,2,4,4,0.375,0,65,15,70,1,3,0,0,verified
2-07-08-00,法律顾问,2411,Lawyers,2,10,9,0.535,0.6495,0.656,3,4,4,0.535,0,85,20,90,1,4,0,0,verified
2-07-09-00,宗教教职人员,2635,Religious workers,2,10,9,0.4425,0.6475,0.565,3,4,3,0.4425,0,75,20,85,1,4,0,0,verified
2-07-10-01,社会工作者,4242,Social Work Professionals,2,10,9,0.4095,0.672,0.5805,3,4,3,0.4095,0,72,25,85,1,4,0,0,unmatched
2-07-10-02,社会组织专业人员,2422,Social Work Professionals,2,10,9,0.36,0.6975,0.64,2,4,4,0.36,0,72,10,75,1,4,0,0,verified
2-07-10-03,心理咨询师,2634,Psychologists,2,10,9,0.432,0.678,0.65,3,4,4,0.432,0,85,10,90,1,4,0,0,verified
2-08-01-01,普通高等学校教师,2310,University and Higher Education Teachers,2,10,9,0.388,0.676,0.612,3,4,3,0.388,0,85,10,80,1,4,0,0,verified
2-08-01-02,高等职业学校教师,2342,Secondary Education Teachers,2,10,9,0.365,0.6145,0.6635,2,3,4,0.365,0,75,30,70,1,3,0,0,verified
2-08-02-01,高级中学教师,2320,Secondary Education Teachers,2,10,9,0.3825,0.6055,0.6795,3,3,4,0.3825,0,75,20,85,1,4,0,0,verified
2-08-02-02,中等职业学校教师,2340,Secondary education teachers,2,10,9,0.4135,0.6145,0.6225,3,3,3,0.4135,0,72,35,75,1,4,0,0,unmatched
2-08-02-03,初级中学教师,2340,Secondary Education Teachers,2,10,9,0.449,0.645,0.566,3,4,3,0.449,0,72,25,85,1,4,0,0,unmatched
2-08-02-04,小学教师,2340,Primary School Teachers,2,10,9,0.3515,0.631,0.691,2,4,4,0.3515,0,72,25,85,1,4,0,0,unmatched
2-08-03-00,幼儿园教师,2340,Kindergarten and Preschool Teachers,2,10,9,0.257,0.7325,0.713,2,4,4,0.257,0,65,35,70,1,4,0,0,unmatched
2-08-04-00,特殊教育教师,2340,Primary School Teachers,2,10,9,0.3225,0.6625,0.7335,2,4,4,0.3225,0,75,30,65,1,4,0,0,unmatched
2-09-01-01,文学作家,2631,Writers and related authors,2,10,9,0.434,0.606,0.566,3,3,3,0.434,0,85,10,95,1,4,0,0,verified
2-09-01-02,曲艺作家,2641,Writers and related authors,2,10,9,0.377,0.665,0.6715,3,4,4,0.377,0,75,20,85,1,3,0,0,verified
2-09-01-03,剧作家,2634,Writers and related authors,2,10,9,0.4455,0.64,0.6915,3,4,4,0.4455,0,85,20,95,1,4,0,0,verified
2-09-01-04,作曲家,2144,Composers and Conductors,2,10,9,0.3835,0.6065,0.6165,3,3,3,0.3835,0,85,10,60,1,3,0,0,verified
2-09-01-05,词作家,2641,Writers and related authors,2,10,9,0.5685,0.7545,0.595,3,4,3,0.5685,0,75,20,95,1,3,0,0,verified
2-09-01-06,导演,2634,Film and Video Directors,2,10,9,0.3385,0.5915,0.6715,2,3,4,0.3385,0,85,40,75,1,4,0,0,verified
2-09-01-07,舞蹈编导,2634,Artistic Directors,2,10,9,0.4255,0.6865,0.6765,3,4,4,0.4255,0,75,30,65,1,4,0,0,verified
2-09-01-08,舞美设计,2166,Graphic and multimedia designers,2,10,9,0.395,0.664,0.6005,3,4,3,0.395,0,75,30,65,1,3,0,0,verified
2-09-02-01,音乐指挥,2614,Conductors and Directors,2,10,9,0.319,0.5985,0.684,2,3,4,0.319,0,85,40,75,1,4,0,0,unmatched
2-09-02-02,电影电视演员,2641,Writers and Authors,2,10,9,0.283,0.642,0.735,2,4,4,0.283,0,75,40,80,1,4,0,0,verified
2-09-02-03,戏剧戏曲演员,2634,Actors,2,10,9,0.325,0.566,0.619,2,3,3,0.325,0,75,60,80,1,4,0,0,verified
2-09-02-04,舞蹈演员,2634,Dancers and Choreographers,2,10,9,0.262,0.525,0.7455,2,3,4,0.262,0,65,90,40,1,4,0,0,verified
2-09-02-05,曲艺演员,2634,Performing Artists,2,10,9,0.315,0.592,0.587,2,3,3,0.315,0,75,30,90,1,4,0,0,verified
2-09-02-06,杂技魔术演员,2634,Performing Artists,2,10,9,0.389,0.6945,0.637,3,4,4,0.389,0,65,85,40,1,4,0,0,verified
2-09-02-07,歌唱演员,2634,Musicians,2,10,9,0.3126,0.4615,0.6615,2,3,4,0.3126,0,75,40,60,1,4,0,0,verified
2-09-02-08,皮影戏木偶戏演员,2634,Performing Artists,2,9,9,0.3195,0.505,0.5805,2,3,3,0.3195,0,65,45,70,1,3,0,0,verified
2-09-02-09,民族乐器演奏员,2340,Musician,2,10,9,0.323,0.592,0.621,2,3,3,0.323,0,75,40,60,1,3,0,0,unmatched
2-09-02-10,外国乐器演奏员,2324,Musician,2,10,9,0.3535,0.6155,0.5395,2,3,3,0.3535,0,75,40,60,1,3,0,0,unmatched
2-09-03-01,电影电视制片人,1221,Sales and Marketing Managers,1,10,9,0.4245,0.6695,0.5755,3,4,3,0.4245,0,85,20,75,1,4,0,0,unmatched
2-09-03-02,电影电视场记,2634,Authors and related writers,2,10,9,0.4425,0.666,0.6575,3,4,4,0.4425,0,65,35,70,1,3,0,0,verified
2-09-03-03,电影电视摄影师,2113,Film and Video Directors,2,10,9,0.4105,0.6595,0.646,3,4,4,0.4105,0,75,40,65,1,3,0,0,verified
2-09-03-04,电影电视片发行人,2421,Advertising and Marketing Professionals,2,10,9,0.454,0.7095,0.6935,3,4,4,0.454,0,75,10,70,1,3,0,0,verified
2-09-03-05,电视导播,2634,Broadcasting and Other Media Professionals,2,10,9,0.4325,0.717,0.5675,3,4,3,0.4325,0,75,20,65,1,3,0,0,verified
2-09-03-06,剪辑师,2641,Film and Video Editors,2,10,9,0.453,0.7445,0.547,3,4,3,0.453,0,75,20,65,1,3,0,0,verified
2-09-04-01,灯光师,2149,Professional occupations in arts and design not elsewhere classified,2,10,9,0.3575,0.5335,0.6005,2,3,3,0.3575,0,72,45,68,1,3,0,0,unmatched
2-09-04-02,音像师,2634,Audio and Video Engineers,2,10,9,0.371,0.652,0.634,2,4,4,0.371,0,75,30,65,1,3,0,0,verified
2-09-04-03,美工师,2166,Graphic and multimedia designers,2,10,9,0.41,0.6105,0.59,3,3,3,0.41,0,75,20,60,1,3,0,0,verified
2-09-04-04,化妆师,2431,Advertising and Marketing Professionals,2,10,9,0.402,0.6295,0.62,3,4,3,0.402,0,65,40,70,1,3,0,0,verified
2-09-04-05,装置师,3322,Theatre and Film Directors and Stage Managers,3,10,9,0.38,0.675,0.62,3,4,3,0.38,0,65,45,60,1,3,0,0,verified
2-09-04-06,服装道具师,2166,Graphic and multimedia designers,2,10,9,0.3925,0.671,0.6615,3,4,4,0.3925,0,72,45,65,1,3,0,0,verified
2-09-04-07,演出监督,2422,Advertising and Marketing Professionals,2,10,9,0.3995,0.7535,0.6375,3,4,4,0.3995,0,75,20,70,1,3,0,0,verified
2-09-04-08,演出制作人,1349,Business Professionals Not Elsewhere Classified,1,10,9,0.3915,0.6995,0.577,3,4,3,0.3915,0,75,20,65,1,4,0,0,unmatched
2-09-05-01,画家,2166,Painters and decorators,2,10,9,0.4375,0.616,0.646,3,3,4,0.4375,0,75,40,60,1,3,0,0,verified
2-09-05-02,篆刻家,2141,Authors and related writers,2,10,9,0.4475,0.6465,0.666,3,4,4,0.4475,0,75,40,65,1,3,0,0,verified
2-09-05-03,雕塑家,2163,Graphic and multimedia designers,2,10,9,0.4195,0.6495,0.72,3,4,4,0.4195,0,75,60,40,1,3,0,0,verified
2-09-05-04,书法家,2634,Authors and related writers,2,10,9,0.392,0.625,0.658,3,4,4,0.392,0,75,40,60,1,3,0,0,verified
2-09-05-05,摄影家,2166,Graphic and multimedia designers,2,10,9,0.339,0.618,0.6915,2,3,4,0.339,0,75,25,60,1,3,0,0,verified
2-09-06-01,视觉传达设计人员,2166,Graphic and multimedia designers,2,10,9,0.4665,0.734,0.606,3,4,3,0.4665,0,75,20,65,1,3,0,0,verified
2-09-06-02,服装设计人员,2166,Graphic and multimedia designers,2,10,9,0.5,0.7345,0.712,3,4,4,0.5,0,75,20,65,1,3,0,0,verified
2-09-06-03,动画设计人员,2166,Graphic and multimedia designers,2,10,9,0.4825,0.7695,0.596,3,4,3,0.4825,0,75,20,65,1,3,0,0,verified
2-09-06-04,环境设计人员,2166,Architects,2,10,9,0.4225,0.684,0.73,3,4,4,0.4225,0,75,20,65,1,3,0,0,verified
2-09-06-05,染织艺术设计人员,2166,Graphic and multimedia designers,2,10,9,0.5215,0.6515,0.719,3,4,4,0.5215,0,72,35,65,1,3,0,0,verified
2-09-06-06,工艺美术专业人员,2144,Graphic and multimedia designers,2,10,9,0.309,0.601,0.691,2,3,4,0.309,0,75,40,65,1,3,0,0,verified
2-09-06-07,数字媒体艺术专业人员S,2166,Graphic and multimedia designers,2,10,9,0.418,0.632,0.582,3,4,3,0.418,0,75,20,65,1,3,0,0,verified
2-09-06-08,公共艺术专业人员,2166,Graphic and multimedia designers,2,10,9,0.386,0.6685,0.654,3,4,4,0.386,0,75,30,65,1,3,0,0,verified
2-09-06-09,陈列展览设计人员,2166,Graphic and multimedia designers,2,10,9,0.445,0.6895,0.698,3,4,4,0.445,0,72,35,68,1,3,0,0,verified
2-09-07-01,教练员,2422,Sports Coaches,2,10,9,0.404,0.666,0.6315,3,4,4,0.404,0,72,45,68,1,4,0,0,verified
2-09-07-02,裁判员,3339,Sports Officials and Referees,3,10,9,0.317,0.644,0.683,2,4,4,0.317,0,75,40,60,1,3,0,0,unmatched
2-09-07-03,运动员,4111,Professional athletes,2,10,9,0.3515,0.681,0.6785,2,4,4,0.3515,0,75,90,45,1,4,0,0,unmatched
2-09-07-04,运动防护师,2222,Nursing Professionals,2,10,9,0.5345,0.714,0.4655,3,4,3,0.5345,0,72,45,68,1,3,0,0,verified
2-09-07-05,体育经理人,1219,Business Services Professionals Not Elsewhere Classified,1,10,9,0.388,0.6345,0.612,3,4,3,0.388,0,75,25,80,1,4,0,0,unmatched
2-10-01-01,文字记者,2413,Journalists,2,10,9,0.422,0.669,0.621,3,4,3,0.422,0,75,20,85,1,3,0,0,verified
2-10-01-02,摄影记者,2141,Writers and related journalists,2,10,9,0.402,0.6095,0.598,3,3,3,0.402,0,72,45,65,1,3,0,0,verified
2-10-02-01,文字编辑,2631,Authors and Journalists,2,10,9,0.4945,0.704,0.5735,3,4,3,0.4945,0,72,20,85,1,3,0,0,verified
2-10-02-02,美术编辑,2166,Graphic and multimedia designers,2,10,9,0.5215,0.711,0.4785,3,4,3,0.5215,0,72,20,65,1,3,0,0,verified
2-10-02-03,技术编辑,2141,Authors and related writers,2,10,9,0.356,0.721,0.714,2,4,4,0.356,0,72,20,65,1,3,0,0,verified
2-10-02-04,数字出版编辑S,2635,Authors and related writers,2,10,9,0.5125,0.7595,0.72,3,4,4,0.5125,0,75,20,80,1,3,0,0,verified
2-10-02-05,网络编辑S,2635,Authors and Journalists,2,10,9,0.508,0.7015,0.642,3,4,4,0.508,0,72,10,85,1,3,0,0,verified
2-10-02-06,电子音乐编辑,2634,Recording Engineers and Sound Technicians,2,10,9,0.5675,0.7185,0.4985,3,4,3,0.5675,0,75,20,65,1,3,0,0,verified
2-10-03-00,校对员,3322,Proofreaders and Copy Editors,3,10,9,0.566,0.6725,0.733,3,4,4,0.566,0,65,15,85,1,3,0,0,verified
2-10-04-01,播音员,2641,Authors and Journalists,2,9,9,0.3905,0.5875,0.5315,3,3,3,0.3905,0,72,25,95,1,4,0,0,verified
2-10-04-02,节目主持人,2634,Broadcasting and Other Media Presenters,2,10,9,0.4615,0.713,0.63,3,4,4,0.4615,0,75,20,90,1,4,0,0,verified
2-10-05-01,翻译,2635,Translators and Interpreters,2,10,9,0.494,0.7,0.656,3,4,4,0.494,0,85,20,95,1,4,0,0,verified
2-10-05-02,手语翻译,2635,Interpreters and Translators,2,10,9,0.4185,0.615,0.609,3,3,3,0.4185,0,75,40,85,1,4,0,0,verified
2-10-06-01,文献信息专业人员,2424,Librarians and related information professionals,2,10,9,0.573,0.742,0.427,3,4,3,0.573,0,72,15,85,1,3,0,0,verified
2-10-06-02,微缩摄影专业人员,2141,Archivists,2,10,9,0.5495,0.6885,0.5735,3,4,3,0.5495,0,65,35,60,1,2,0,0,verified
2-10-07-00,档案专业人员,2411,Archivists,2,10,9,0.445,0.6595,0.667,3,4,4,0.445,0,65,15,70,1,3,0,0,verified
2-10-08-01,考古专业人员,2141,Archaeologists,2,10,9,0.3065,0.592,0.7285,2,3,4,0.3065,0,75,40,65,1,3,0,0,verified
2-10-08-02,文物藏品专业人员,2611,Archivists,2,10,9,0.4145,0.664,0.5855,3,4,3,0.4145,0,75,20,65,1,3,0,0,verified
2-10-08-03,可移动文物保护专业人员,2149,Science and Engineering Professionals Not Elsewhere Classified,2,10,9,0.3915,0.7235,0.6085,3,4,3,0.3915,0,85,40,65,1,3,0,0,unmatched
2-10-08-04,不可移动文物保护专业人员,2142,Architects,2,10,9,0.3755,0.675,0.6545,3,4,4,0.3755,0,75,30,65,1,3,0,0,verified
2-10-08-05,文物展陈专业人员,2424,"Archives, Museums and Gallery Curators",2,10,9,0.3905,0.71,0.6575,3,4,4,0.3905,0,75,25,70,1,3,0,0,verified
3-01-01-01,行政办事员,4140,General Office Clerks,4,10,9,0.513,0.6735,0.487,3,4,3,0.513,0,65,15,70,1,3,0,0,unmatched
3-01-01-02,政务服务办事员,4221,Government Clerks,4,10,9,0.4135,0.648,0.5565,3,4,3,0.4135,0,65,25,75,1,3,0,0,verified
3-01-01-03,统计调查员,3314,"Statistical, Mathematical and Related Associate Professionals",3,10,9,0.453,0.666,0.576,3,4,3,0.453,0,72,35,78,1,3,0,0,verified
3-01-01-04,社团会员管理员,3339,Business Services Agents Not Elsewhere Classified,3,10,9,0.538,0.7455,0.6095,3,4,3,0.538,0,65,15,70,1,3,0,0,unmatched
3-01-01-05,劝募员,2422,Sales and Marketing Professionals,2,10,9,0.5045,0.651,0.4955,3,4,3,0.5045,0,65,25,80,1,4,0,0,verified
3-01-02-01,机要员,4311,General Office Clerks,4,10,9,0.167,0.653,0.815,2,4,4,0.167,0,65,25,70,1,3,0,0,verified
3-01-02-02,秘书,3331,General Office Clerks,3,9,9,0.453,0.647,0.547,3,4,3,0.453,0,65,15,70,1,3,0,0,verified
3-01-02-03,公关员,2411,Advertising and Marketing Professionals,2,10,9,0.5555,0.75,0.5855,3,4,3,0.5555,0,72,20,85,1,4,0,0,verified
3-01-02-04,收发员,4321,Clerical Supervisors,4,10,9,0.4405,0.6785,0.617,3,4,3,0.4405,0,45,60,55,1,2,0,0,verified
3-01-02-05,打字员,4140,Typists,4,10,9,0.7156,0.693,0.332,4,4,2,0.7156,1,45,20,85,1,2,0,0,unmatched
3-01-02-06,速录师,3331,Secretaries (general),3,10,9,0.4025,0.56,0.604,3,3,3,0.4025,0,75,20,90,1,3,0,0,verified
3-01-02-07,制图员,3322,Drafting and Engineering Technicians,3,10,9,0.555,0.676,0.445,3,4,3,0.555,0,65,15,70,1,3,0,0,verified
3-01-02-08,后勤管理员,4311,Office Clerks,4,10,9,0.351,0.6615,0.634,2,4,4,0.351,0,55,30,65,1,3,0,0,verified
3-01-03-01,行政执法员,3322,Police Officers,3,10,9,0.4105,0.6765,0.597,3,4,3,0.4105,0,72,25,75,1,3,0,0,verified
3-01-03-02,劳动人事争议仲裁员,2411,Lawyers,2,10,9,0.5645,0.633,0.5485,3,4,3,0.5645,0,85,20,80,1,4,0,0,verified
3-01-03-03,农村土地承包仲裁员,2419,Legal Professionals Not Elsewhere Classified,2,10,9,0.4255,0.555,0.5745,3,3,3,0.4255,0,75,20,70,1,4,0,0,unmatched
3-01-04-01,村和社区工作者,4221,Social Work Professionals,4,10,9,0.4275,0.708,0.5935,3,4,3,0.4275,0,65,25,75,1,4,0,0,verified
3-01-04-02,城市管理网格员,4331,Administrative and executive secretaries,4,10,9,0.465,0.6765,0.535,3,4,3,0.465,0,55,40,65,1,3,0,0,unmatched
3-01-04-03,劳动保障协理员,4221,Social Work Professionals,4,10,9,0.428,0.769,0.6105,3,4,3,0.428,0,65,15,70,1,3,0,0,verified
3-01-04-04,退役军人事务员,2422,Social Work Professionals,2,10,9,0.5615,0.744,0.5635,3,4,3,0.5615,0,65,15,70,1,3,0,0,verified
3-01-04-05,基层法律服务工作者,2411,Lawyers,2,10,9,0.3335,0.654,0.6665,2,4,4,0.3335,0,75,20,85,1,4,0,0,verified
3-01-04-06,医疗保障专员,3331,Insurance Underwriters,3,10,9,0.6525,0.792,0.525,4,4,3,0.6525,0,65,15,70,1,3,0,0,verified
3-02-01-00,人民警察,5322,Police Officers,5,10,9,0.3375,0.689,0.635,2,4,4,0.3375,0,75,40,65,1,4,0,0,verified
3-02-02-00,保卫管理员,5331,Security Guards,5,10,9,0.419,0.729,0.647,3,4,4,0.419,0,65,40,70,1,3,0,0,unmatched
3-02-02-02,辅警,5331,Security Guards,5,10,9,0.433,0.6245,0.63,3,3,4,0.433,0,55,45,65,1,3,0,0,unmatched
3-02-03-01,消防员,3312,Firefighting and Prevention Occupation,3,10,9,0.3625,0.7475,0.6495,2,4,4,0.3625,0,75,90,60,1,4,0,0,verified
3-02-03-02,消防指挥员,3413,Firefighting and Fire Prevention Supervisors,3,10,9,0.4945,0.7765,0.5475,3,4,3,0.4945,0,85,40,75,1,4,0,0,verified
3-02-03-03,消防装备管理员,3331,Firefighting and Fire Prevention Officers,3,10,9,0.4225,0.652,0.6595,3,4,4,0.4225,0,65,40,60,1,3,0,0,verified
3-02-03-04,消防安全管理员,3413,Firefighting and Fire Prevention Officer,3,10,9,0.436,0.731,0.564,3,4,3,0.436,0,65,30,70,1,3,0,0,verified
3-02-03-05,消防监督检查员,3331,Firefighting and Prevention Specialist,3,10,9,0.3515,0.6835,0.6755,2,4,4,0.3515,0,72,45,68,1,3,0,0,verified
3-02-03-06,森林消防员L,3312,Firefighting and Prevention Officers,3,10,9,0.4175,0.7305,0.6005,3,4,3,0.4175,0,72,88,65,1,3,0,0,verified
3-02-03-07,森林火情瞭望观察员L,3314,Firefighting and Fire Prevention Supervisors,3,10,9,0.45,0.688,0.544,3,4,3,0.45,0,65,30,70,1,3,0,0,verified
3-02-03-08,应急救援员,4321,Firefighting and Prevention Officers,4,10,9,0.4125,0.641,0.6205,3,4,3,0.4125,0,75,85,60,1,4,0,0,verified
3-03-01-01,仲裁员,2411,Lawyers,2,10,9,0.573,0.6555,0.542,3,4,3,0.573,0,85,10,80,1,4,0,0,verified
3-03-01-02,仲裁秘书,3331,Arbitration and Mediation Officers,3,10,9,0.5245,0.717,0.656,3,4,4,0.5245,0,75,10,80,1,3,0,0,verified
3-03-01-03,调解员,2422,Social Work Professionals,2,10,9,0.443,0.643,0.626,3,4,4,0.443,0,75,10,85,1,4,0,0,verified
4-01-01-00,采购员,3322,Purchasing Agents,3,10,9,0.5455,0.7665,0.61,3,4,3,0.5455,0,72,20,75,1,3,0,0,verified
4-01-02-01,营销员,2431,Advertising and Marketing Professionals,2,10,9,0.545,0.7135,0.588,3,4,3,0.545,0,65,15,70,1,3,0,0,verified
4-01-02-03,商品营业员,5223,Shop Sales Assistants,5,10,9,0.527,0.7351,0.488,3,4,3,0.527,0,45,35,75,1,3,0,0,verified
4-01-02-04,收银员,5223,Shop Sales Assistants,5,10,9,0.6106,0.73,0.399,3,4,3,0.6106,0,35,25,60,1,3,0,0,verified
4-01-02-05,摊商,5223,Street and window salespersons,5,10,9,0.393,0.6645,0.548,3,4,3,0.393,0,45,60,75,1,3,0,0,verified
4-01-02-06,连锁经营管理师,1349,Business Services Professionals Not Elsewhere Classified,1,10,9,0.4755,0.698,0.664,3,4,4,0.4755,0,72,25,65,1,3,0,0,unmatched
4-01-03-01,农产品经纪人,3322,Sales and Marketing Associate Professionals,3,10,9,0.475,0.6975,0.5805,3,4,3,0.475,0,65,30,75,1,3,0,0,verified
4-01-03-02,粮油竞价交易员,3322,Sales and Marketing Professionals,3,10,9,0.338,0.6825,0.7095,2,4,4,0.338,0,72,20,65,1,3,0,0,verified
4-01-03-03,易货师,2413,Purchasing and Sales Agents,2,10,9,0.4735,0.6945,0.6905,3,4,4,0.4735,0,72,25,68,1,4,0,0,verified
4-01-03-04,二手车经纪人,3333,Sales and Services Assistants,3,10,9,0.5235,0.7465,0.561,3,4,3,0.5235,0,65,25,70,1,3,0,0,verified
4-01-04-01,再生物资回收挑选工L,9321,Cleaning and Housekeeping Workers,9,10,9,0.475,0.666,0.6445,3,4,4,0.475,0,45,75,30,1,2,0,0,verified
4-01-05-01,农产品购销员,4331,Sales and Buying Agents,4,10,9,0.4585,0.7185,0.5705,3,4,3,0.4585,0,65,35,70,1,3,0,0,unmatched
4-01-05-02,医药商品购销员,4331,Sales and Purchasing Agents,4,9,9,0.539,0.6615,0.396,3,4,3,0.539,0,65,25,70,1,3,0,0,unmatched
4-01-05-03,出版物发行员,4331,Sales and Services Assistants,4,10,9,0.362,0.651,0.638,2,4,4,0.362,0,65,35,70,1,3,0,0,unmatched
4-01-05-04,烟草制品购销员,4331,Sales and Buying Agents,4,10,9,0.42,0.7045,0.58,3,4,3,0.42,0,65,25,75,1,3,0,0,unmatched
4-01-06-01,电子商务师S,2424,Advertising and Marketing Professionals,2,10,9,0.564,0.7125,0.669,3,4,4,0.564,0,72,10,75,1,3,0,0,verified
4-01-06-02,互联网营销师S,2431,Advertising and Marketing Professionals,2,10,9,0.5975,0.7705,0.589,3,4,3,0.5975,0,72,25,85,1,4,0,0,verified
4-02-01-01,轨道交通列车司机L,3311,Railway and Tram Drivers,3,10,9,0.2925,0.602,0.7175,2,3,4,0.2925,0,75,20,65,1,3,0,0,verified
4-02-01-02,铁路列车乘务员,5223,Travel Attendants,5,10,9,0.3515,0.6655,0.6595,2,4,4,0.3515,0,65,45,70,1,3,0,0,verified
4-02-01-03,铁路车站客运服务员,5223,Travel Attendants,5,10,9,0.397,0.599,0.603,3,3,3,0.397,0,55,40,75,1,3,0,0,verified
4-02-01-04,铁路行包运输服务员,4331,Railway Station and Transport Service Attendants,4,10,9,0.33,0.7235,0.735,2,4,4,0.33,0,65,45,70,1,3,0,0,unmatched
4-02-01-05,铁路车站货运服务员,4331,Cargo Handling Supervisors,4,10,9,0.4765,0.731,0.6975,3,4,4,0.4765,0,55,30,65,1,3,0,0,unmatched
4-02-01-06,轨道交通调度员,3322,Railway and Road Transport Controllers,3,10,9,0.302,0.746,0.672,2,4,4,0.302,0,85,20,75,1,3,0,0,verified
4-02-01-07,城市轨道交通服务员,5331,Passenger Service Attendants,5,10,9,0.5295,0.677,0.664,3,4,4,0.5295,0,55,30,65,1,3,0,0,unmatched
4-02-02-01,客运车辆驾驶员L,8331,Bus and Tram Drivers,3,10,9,0.4415,0.631,0.6925,3,4,4,0.4415,0,65,40,70,1,3,0,0,verified
4-02-02-02,道路货运汽车驾驶员L,8331,Bus and Coach Drivers,3,10,9,0.378,0.674,0.708,3,4,4,0.378,0,65,45,70,1,3,0,0,verified
4-02-02-03,道路客运服务员,5223,Passenger Service Attendants,5,10,9,0.504,0.681,0.632,3,4,4,0.504,0,45,35,75,1,3,0,0,verified
4-02-02-04,道路货运业务员,4321,Cargo Handling Supervisors,4,10,9,0.551,0.706,0.594,3,4,3,0.551,0,65,15,70,1,3,0,0,verified
4-02-02-05,道路运输调度员,3331,Transportation Clerks,3,10,9,0.6655,0.785,0.5615,4,4,3,0.6655,0,72,10,75,1,3,0,0,verified
4-02-02-06,路况信息监控员,4321,Traffic and Transport Controllers,4,10,9,0.628,0.7395,0.3595,4,4,2,0.628,0,65,15,70,1,3,0,0,verified
4-02-02-07,机动车驾驶教练员,4341,Driving instructors,4,10,9,0.4365,0.727,0.6185,3,4,3,0.4365,0,65,15,70,1,3,0,0,unmatched
4-02-02-08,油气电站操作员,3122,Petroleum Plant Operators,3,10,9,0.524,0.7215,0.551,3,4,3,0.524,0,65,45,70,1,3,0,0,verified
4-02-02-09,汽车救援员,7412,Motor Vehicle Mechanics and Repairers,7,10,9,0.402,0.6815,0.68,3,4,4,0.402,0,65,75,60,1,3,0,0,verified
