Code / 代码,Name (CN) / 名称 (中文),ISCO-08 Code / ISCO-08 代码,ISCO-08 Title (EN) / ISCO-08 英文名称,Task Count / 任务数量,KSA Count / KSA 数量,Avg Substitutivity / 平均替代性,Avg Augmentation / 平均增强性,Avg Complementarity / 平均互补性,Cognitive Req / 认知门槛,Physical Intensity / 体力强度,Language Intensity / 语言强度
2-02-30-01,工业工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.59,0.77,0.59,75,20,65
2-02-30-02,物流工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.48,0.71,0.66,75,20,65
2-02-30-03,战略规划与管理工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.76,0.72,85,10,75
2-02-30-04,项目管理工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.42,0.72,0.61,75,10,70
2-02-30-05,再生资源工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.68,0.71,72,25,65
2-02-30-06,能源管理工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.44,0.68,0.59,75,20,65
2-02-30-07,监理工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.33,0.66,0.64,72,35,68
2-02-30-08,信息管理工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.48,0.77,0.70,75,10,65
2-02-30-09,数据分析处理工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.75,0.57,75,10,65
2-02-30-10,工程造价工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.70,0.57,75,20,65
2-02-30-11,供应链工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.57,0.80,0.56,75,20,65
2-02-31-01,产品质量检验工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.68,0.56,65,25,60
2-02-31-02,进出口商品检验鉴定工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.53,0.68,0.59,75,30,70
2-02-31-03,进出境动物和植物检验检疫人员,2149,Science and Engineering Professionals Not Elsewhere Classified,10,9,0.39,0.67,0.60,72,45,68
2-02-31-04,特种设备检验检测工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.36,0.73,0.70,75,40,65
2-02-31-05,纤维质量检验工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.44,0.72,0.68,65,25,70
2-02-31-06,卫生检疫人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.74,0.67,72,45,68
2-02-32-00,制药工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.41,0.72,0.66,75,20,65
2-02-33-00,印刷复制工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.69,0.62,72,25,65
2-02-34-01,产品设计工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.51,0.72,0.49,75,20,65
2-02-34-02,工业设计工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.51,0.58,0.53,75,20,65
2-02-35-01,矫形器师,VERIFIED,Matched in ISCO-08 reference,10,9,0.34,0.66,0.69,75,40,65
2-02-35-02,假肢师,VERIFIED,Matched in ISCO-08 reference,10,9,0.52,0.72,0.62,75,40,65
2-02-35-03,听力师,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.67,0.58,72,25,68
2-02-36-01,制浆造纸工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.41,0.69,0.57,75,30,65
2-02-36-02,皮革化学工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.35,0.70,0.61,75,20,65
2-02-36-03,生物发酵工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.36,0.72,0.73,75,30,60
2-02-36-04,日用化工工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.43,0.72,0.66,75,20,65
2-02-36-05,塑料加工工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.69,0.64,75,25,60
2-02-37-01,土地整治与生态修复工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.76,0.57,75,40,65
2-02-37-02,城乡规划工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.62,0.61,75,20,70
2-02-38-01,人工智能工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.70,0.66,85,10,65
2-02-38-02,物联网工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.59,0.75,0.65,75,20,65
2-02-38-03,大数据工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.67,0.67,85,10,75
2-02-38-04,云计算工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.56,0.77,0.54,78,10,65
2-02-38-05,智能制造工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.39,0.72,0.72,85,20,65
2-02-38-06,工业互联网工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.64,0.67,75,20,65
2-02-38-07,虚拟现实工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.74,0.65,85,20,65
2-02-38-08,区块链工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.34,0.72,0.67,85,10,65
2-02-38-09,集成电路工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.29,0.62,0.73,85,20,65
2-02-38-10,机器人工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.33,0.68,0.70,85,25,60
2-02-38-11,增材制造工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.39,0.73,0.61,75,20,65
2-02-38-12,数据安全工程技术人员,2529,Information and communications technology professionals not elsewhere classified,10,9,0.36,0.76,0.74,85,10,75
2-02-38-13,密码工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.67,0.64,85,20,65
2-03-01-00,土壤肥料技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.66,0.55,72,35,68
2-03-02-00,农业技术指导人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.60,0.68,65,30,70
2-03-03-00,植物保护技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.71,0.61,68,45,72
2-03-04-00,园艺技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.50,0.73,0.62,65,35,45
2-03-05-00,作物遗传育种栽培技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.37,0.69,0.68,72,45,65
2-03-06-01,兽医,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.73,0.57,75,40,65
2-03-06-02,兽药技术人员,2149,Professionals in Animal Health,10,9,0.47,0.73,0.63,72,25,65
2-03-06-03,宠物医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.53,0.74,0.55,75,40,65
2-03-07-01,畜牧技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.76,0.68,65,40,70
2-03-07-02,草业技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.28,0.70,0.72,65,40,70
2-03-08-01,水产养殖技术人员,3130,Agricultural Technicians,10,9,0.32,0.70,0.73,68,45,55
2-03-08-02,渔业资源开发利用技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.32,0.65,0.68,72,35,68
2-03-09-00,农业工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.35,0.72,0.74,72,35,68
2-04-01-01,飞行驾驶员,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.73,0.68,92,25,75
2-04-01-02,飞行机械员,VERIFIED,Matched in ISCO-08 reference,10,9,0.53,0.72,0.50,72,45,65
2-04-01-03,飞行领航员,VERIFIED,Matched in ISCO-08 reference,10,9,0.27,0.58,0.63,85,25,65
2-04-01-04,飞行通信员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.73,0.57,72,25,75
2-04-02-01,甲板部技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.71,0.70,75,40,65
2-04-02-02,轮机部技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.69,0.69,75,45,60
2-04-02-03,船舶引航员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.66,0.62,85,40,75
2-05-01-01,内科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.68,0.62,85,20,75
2-05-01-02,外科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.76,0.59,92,75,60
2-05-01-03,儿科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.33,0.60,0.64,85,25,75
2-05-01-04,妇产科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.73,0.57,92,45,75
2-05-01-05,眼科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.41,0.64,0.55,92,25,75
2-05-01-06,耳鼻咽喉科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.78,0.63,85,40,75
2-05-01-07,口腔科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.61,0.58,85,40,75
2-05-01-08,皮肤科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.70,0.66,85,25,75
2-05-01-09,精神科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.75,0.59,92,10,85
2-05-01-10,传染病科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.36,0.71,0.76,85,30,75
2-05-01-11,急诊科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.34,0.61,0.67,92,45,80
2-05-01-12,康复科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.47,0.80,0.53,75,30,65
2-05-01-13,麻醉科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.34,0.64,0.68,92,45,60
2-05-01-14,病理科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.54,0.65,92,25,65
2-05-01-15,放射科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.41,0.63,0.58,92,25,75
2-05-01-16,核医学科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.30,0.62,0.70,85,20,75
2-05-01-17,超声科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.46,0.71,0.68,85,30,65
2-05-01-18,肿瘤科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.36,0.72,0.62,92,25,85
2-05-01-19,全科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.67,0.70,75,20,80
2-05-01-20,医学遗传科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.73,0.57,92,10,85
2-05-01-21,妇幼保健医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.72,0.60,75,20,70
2-05-01-22,疼痛科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.74,0.62,85,30,75
2-05-01-23,重症医学科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.61,0.62,92,45,75
2-05-01-24,临床检验科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.53,0.73,0.55,85,20,75
2-05-01-25,职业病科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.41,0.71,0.67,85,20,75
2-05-02-01,中医内科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.64,0.62,85,30,75
2-05-02-02,中医外科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.47,0.67,0.62,85,40,75
2-05-02-03,中医妇科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.67,0.65,85,30,75
2-05-02-04,中医儿科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.48,0.66,0.59,85,30,75
2-05-02-05,中医眼科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.74,0.57,85,30,75
2-05-02-06,中医皮肤科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.65,0.60,75,25,70
2-05-02-07,中医骨伤科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.32,0.55,0.68,75,40,65
2-05-02-08,中医肛肠科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.36,0.66,0.63,85,40,75
2-05-02-09,中医耳鼻咽喉科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.67,0.57,85,30,75
2-05-02-10,针灸医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.46,0.72,0.53,75,30,65
2-05-02-11,中医推拿医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.46,0.66,0.53,75,60,65
2-05-02-12,中医营养医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.62,0.51,75,20,70
2-05-02-13,中医整脊科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.60,0.61,75,40,65
2-05-02-14,中医康复医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.41,0.62,0.58,75,40,65
2-05-02-15,中医全科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.71,0.64,85,30,75
2-05-02-16,中医亚健康医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.70,0.60,75,30,65
2-05-03-01,中西医结合内科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.41,0.68,0.59,85,20,75
2-05-03-02,中西医结合外科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.70,0.55,85,40,75
2-05-03-03,中西医结合妇科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.34,0.72,0.70,85,40,75
2-05-03-04,中西医结合儿科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.32,0.67,0.68,85,20,75
2-05-03-05,中西医结合骨伤科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.37,0.74,0.64,85,40,75
2-05-03-06,中西医结合肛肠科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.70,0.51,85,40,75
2-05-03-07,中西医结合皮肤与性病科医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.63,0.60,85,25,75
2-05-04-00,民族医医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.34,0.59,0.68,75,30,70
2-05-05-01,疾病控制医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.53,0.68,0.60,75,25,65
2-05-05-02,健康教育医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.51,0.74,0.61,72,25,80
2-05-05-03,公共卫生医师,VERIFIED,Matched in ISCO-08 reference,10,9,0.56,0.71,0.57,75,20,65
2-05-06-01,药师,VERIFIED,Matched in ISCO-08 reference,10,9,0.46,0.72,0.63,75,20,65
2-05-06-02,中药师,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.70,0.55,75,20,65
2-05-06-03,民族药师,VERIFIED,Matched in ISCO-08 reference,10,9,0.50,0.66,0.57,72,35,65
2-05-07-01,影像技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.66,0.55,65,25,70
2-05-07-02,口腔医学技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.70,0.61,72,45,68
2-05-07-03,病理技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.47,0.72,0.64,65,35,40
2-05-07-04,临床检验技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.71,0.59,72,25,65
2-05-07-05,公卫检验技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.32,0.69,0.68,72,25,65
2-05-07-06,卫生工程技师,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.42,0.68,0.65,72,25,68
2-05-07-07,输血技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.32,0.57,0.64,65,30,60
2-05-07-08,临床营养技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.47,0.68,0.53,72,20,75
2-05-07-09,消毒技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.70,0.68,65,35,70
2-05-07-10,肿瘤放射治疗技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.41,0.69,0.66,75,30,65
2-05-07-11,心电学技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.63,0.65,65,30,70
2-05-07-12,神经电生理脑电图技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.55,0.62,72,25,65
2-05-07-13,心理治疗技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.72,0.64,75,10,80
2-05-07-14,病案信息技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.65,0.58,72,18,75
2-05-07-15,中医技师,VERIFIED,Matched in ISCO-08 reference,10,9,0.51,0.68,0.69,65,40,70
2-05-08-01,内科护士,VERIFIED,Matched in ISCO-08 reference,10,9,0.25,0.63,0.80,72,45,68
2-05-08-02,儿科护士,VERIFIED,Matched in ISCO-08 reference,10,9,0.30,0.71,0.74,75,40,70
2-05-08-03,急诊护士,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.57,0.65,85,60,75
2-05-08-04,外科护士,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.58,0.61,72,45,68
2-05-08-05,社区护士,VERIFIED,Matched in ISCO-08 reference,10,9,0.37,0.68,0.63,65,35,70
2-05-08-06,助产士,VERIFIED,Matched in ISCO-08 reference,9,9,0.34,0.62,0.68,75,40,65
2-05-08-07,口腔科护士,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.74,0.70,65,15,70
2-05-08-08,妇产科护士,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.69,0.59,72,45,68
2-05-08-09,中医护士,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.62,0.58,72,35,68
2-05-09-00,乡村医生,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.62,0.57,65,35,70
2-05-10-00,盲人医疗按摩人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.32,0.59,0.72,65,15,70
2-06-01-01,经济规划专业人员,VERIFIED,Matched in ISCO-08 reference,9,9,0.53,0.59,0.59,85,10,75
2-06-01-02,合作经济专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.44,0.70,0.59,72,25,75
2-06-01-03,价格专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.57,0.72,0.72,75,10,65
2-06-01-04,易货经济专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.72,0.57,75,10,70
2-06-02-00,统计专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.67,0.75,85,10,75
2-06-03-00,会计专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.61,0.66,0.45,75,10,65
2-06-04-00,审计专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.48,0.65,0.62,85,20,75
2-06-05-00,税务专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.74,0.62,85,10,75
2-06-06-01,资产评估专业人员,VERIFIED,Matched in ISCO-08 reference,9,9,0.51,0.68,0.49,75,20,65
2-06-06-02,房地产估价专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.59,0.62,75,20,70
2-06-06-03,森林资源评估专业人员L,VERIFIED,Matched in ISCO-08 reference,10,9,0.55,0.72,0.60,72,35,68
2-06-06-04,矿业权评估专业人员,2419,Professionals in Natural Sciences and Engineering Not Elsewhere Classified,10,9,0.61,0.66,0.53,75,30,65
2-06-06-05,海域海岛评估专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.68,0.69,75,40,65
2-06-07-01,国际商务专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.70,0.57,75,10,80
2-06-07-02,市场营销专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.57,0.74,0.62,75,10,80
2-06-07-03,商务策划专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.53,0.69,0.51,75,10,80
2-06-07-04,品牌专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.54,0.79,0.62,75,10,70
2-06-07-05,会展策划专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.51,0.74,0.57,72,25,75
2-06-07-06,房地产开发专业人员,1349,Business Professionals Not Elsewhere Classified,10,9,0.49,0.69,0.65,78,25,72
2-06-07-07,医药代表,VERIFIED,Matched in ISCO-08 reference,10,9,0.52,0.75,0.48,72,25,85
2-06-07-08,管理咨询专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.68,0.62,85,10,80
2-06-07-09,拍卖师,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.64,0.53,75,20,85
2-06-07-10,物业经营管理专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.72,0.70,68,25,72
2-06-07-11,经纪与代理专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.48,0.72,0.52,75,10,80
2-06-07-12,报关人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.53,0.69,0.59,72,15,68
2-06-07-13,数字化管理师S,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.71,0.61,75,10,65
2-06-07-14,企业合规师,VERIFIED,Matched in ISCO-08 reference,10,9,0.36,0.67,0.65,75,10,80
2-06-07-15,招标采购专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.58,0.68,0.58,75,20,80
2-06-07-16,技术经理人,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.72,0.66,75,20,80
2-06-07-17,不动产确权登记专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.68,0.55,75,25,70
2-06-08-01,人力资源管理专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.77,0.57,75,10,80
2-06-08-02,人力资源服务专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.76,0.51,65,15,70
2-06-08-03,职业信息分析专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.60,0.74,0.60,75,20,75
2-06-08-04,职业技术实训指导专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.69,0.64,72,35,68
2-06-09-01,银行国库业务专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.55,0.67,0.45,75,10,65
2-06-09-02,银行金融市场业务专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.62,0.73,0.38,85,10,75
2-06-09-03,银行清算专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.65,0.75,0.40,72,20,65
2-06-09-04,信贷审核专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.64,0.73,0.53,75,10,65
2-06-09-05,银行国际业务专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.51,0.70,0.49,75,10,80
2-06-09-06,公司金融顾问,VERIFIED,Matched in ISCO-08 reference,10,9,0.68,0.77,0.52,85,10,75
2-06-10-01,精算专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.51,0.76,0.57,85,10,75
2-06-10-02,保险核保专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.50,0.72,0.50,75,10,65
2-06-10-03,保险理赔专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.50,0.65,0.50,72,25,68
2-06-10-04,保险资金运用专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.72,0.61,85,10,75
2-06-11-01,证券保荐承销专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.70,0.59,85,20,75
2-06-11-02,证券交易专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.31,0.68,0.68,85,10,75
2-06-11-03,证券投资专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.64,0.74,0.52,85,10,75
2-06-11-04,金融产品销售专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.48,0.73,0.58,72,20,75
2-06-11-05,黄金投资专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.57,0.73,0.64,85,10,75
2-06-11-06,期货专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.61,0.73,0.64,85,10,75
2-06-11-07,基金专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.66,0.51,85,10,75
2-06-12-01,专利代理专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.50,0.71,0.60,85,10,90
2-06-12-02,专利审查专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.77,0.57,85,20,75
2-06-12-03,专利管理专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.48,0.77,0.64,75,10,80
2-06-12-04,知识产权信息分析专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.55,0.70,0.67,85,10,75
2-06-12-05,版权专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.50,0.73,0.61,75,10,85
2-06-12-06,商标代理专业人员,2419,Legal and Related Professionals Not Elsewhere Classified,10,9,0.55,0.68,0.49,75,10,80
2-06-12-07,商标审查审理专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.67,0.60,85,10,80
2-06-12-08,商标管理专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.53,0.74,0.47,75,10,80
2-06-13-00,医保经办专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.53,0.73,0.59,72,20,75
2-06-14-00,金融科技师S,VERIFIED,Matched in ISCO-08 reference,10,9,0.57,0.79,0.62,75,10,70
2-07-01-00,监察人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.66,0.64,75,25,70
2-07-02-00,法官,VERIFIED,Matched in ISCO-08 reference,10,9,0.36,0.58,0.64,92,25,85
2-07-03-00,检察官,VERIFIED,Matched in ISCO-08 reference,10,9,0.47,0.65,0.65,85,20,80
2-07-04-00,律师,2619,Legal Professionals,10,9,0.41,0.61,0.74,92,10,95
2-07-05-00,公证员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.69,0.65,85,10,80
2-07-06-01,法医,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.67,0.65,85,40,75
2-07-06-02,物证鉴定人员,2149,Science and Engineering Professionals Not Elsewhere Classified,10,9,0.28,0.67,0.77,85,30,75
2-07-07-00,审判辅助人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.67,0.67,65,15,70
2-07-08-00,法律顾问,VERIFIED,Matched in ISCO-08 reference,10,9,0.58,0.66,0.61,85,20,90
2-07-09-00,宗教教职人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.50,0.66,0.51,75,20,85
2-07-10-01,社会工作者,4242,Social Work Professionals,10,9,0.37,0.62,0.57,72,25,85
2-07-10-02,社会组织专业人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.71,0.60,72,10,75
2-07-10-03,心理咨询师,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.68,0.62,85,10,90
2-08-01-01,普通高等学校教师,VERIFIED,Matched in ISCO-08 reference,10,9,0.44,0.64,0.56,85,10,80
2-08-01-02,高等职业学校教师,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.61,0.65,75,30,70
2-08-02-01,高级中学教师,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.61,0.65,75,20,85
2-08-02-02,中等职业学校教师,2340,Secondary education teachers,10,9,0.43,0.62,0.60,72,35,75
2-08-02-03,初级中学教师,2340,Secondary Education Teachers,10,9,0.49,0.64,0.50,72,25,85
2-08-02-04,小学教师,2340,Primary School Teachers,10,9,0.39,0.66,0.66,72,25,85
2-08-03-00,幼儿园教师,2340,Kindergarten and Preschool Teachers,10,9,0.31,0.75,0.66,65,35,70
2-08-04-00,特殊教育教师,2340,Primary School Teachers,10,9,0.35,0.67,0.70,75,30,65
2-09-01-01,文学作家,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.63,0.51,85,10,95
2-09-01-02,曲艺作家,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.65,0.67,75,20,85
2-09-01-03,剧作家,VERIFIED,Matched in ISCO-08 reference,10,9,0.50,0.67,0.64,85,20,95
2-09-01-04,作曲家,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.59,0.60,85,10,60
2-09-01-05,词作家,VERIFIED,Matched in ISCO-08 reference,10,9,0.59,0.75,0.58,75,20,95
